time,fold,size,id
1801,0,19,1
1801,0,12,1
1801,0,3,1
1801,0,10,1
1801,0,6,1
1801,0,2,1
1801,0,3,1
1801,0,1,1
1801,0,5,1
1801,0,18,1
1801,0,4,1
1801,0,11,1
1801,0,6,1
1801,0,17,1
1801,0,7,1
1801,0,8,1
1801,0,5,1
1801,0,2,1
1801,0,15,1
1861,0,19,1
1861,0,12,1
1861,0,3,1
1861,0,10,1
1861,0,6,1
1861,0,2,1
1861,0,3,1
1861,0,1,1
1861,0,5,1
1861,0,18,1
1861,0,20,1
1861,0,4,1
1861,0,11,1
1861,0,6,1
1861,0,17,1
1861,0,7,1
1861,0,8,1
1861,0,5,1
1861,0,22,1
1861,0,15,1
1921,0,19,1
1921,0,12,1
1921,0,3,1
1921,0,10,1
1921,0,28,1
1921,0,3,1
1921,0,1,1
1921,0,5,1
1921,0,18,1
1921,0,20,1
1921,0,4,1
1921,0,11,1
1921,0,6,1
1921,0,17,1
1921,0,7,1
1921,0,8,1
1921,0,5,1
1921,0,22,1
1921,0,15,1
2401,0,19,1
2401,0,12,1
2401,0,3,1
2401,0,20,1
2401,0,28,1
2401,0,3,1
2401,0,1,1
2401,0,5,1
2401,0,18,1
2401,0,20,1
2401,0,4,1
2401,0,11,1
2401,0,6,1
2401,0,17,1
2401,0,7,1
2401,0,8,1
2401,0,5,1
2401,0,67,1
1801,0,12,2
1801,0,2,2
1801,0,2,2
1801,0,16,2
1801,0,16,2
1801,0,3,2
1801,0,25,2
1801,0,20,2
1801,0,5,2
1801,0,12,2
1801,0,8,2
1801,0,4,2
1801,0,6,2
1801,0,4,2
1801,0,6,2
1801,0,20,2
1801,0,2,2
1801,0,4,2
1801,0,6,2
1801,0,21,2
1801,0,15,2
1801,0,1,2
1861,0,12,2
1861,0,24,2
1861,0,16,2
1861,0,16,2
1861,0,3,2
1861,0,25,2
1861,0,20,2
1861,0,5,2
1861,0,12,2
1861,0,8,2
1861,0,4,2
1861,0,6,2
1861,0,4,2
1861,0,6,2
1861,0,20,2
1861,0,26,2
1861,0,6,2
1861,0,21,2
1861,0,15,2
1861,0,1,2
1921,0,12,2
1921,0,24,2
1921,0,16,2
1921,0,16,2
1921,0,3,2
1921,0,25,2
1921,0,20,2
1921,0,5,2
1921,0,20,2
1921,0,40,2
1921,0,4,2
1921,0,6,2
1921,0,4,2
1921,0,6,2
1921,0,20,2
1921,0,26,2
1921,0,6,2
1921,0,21,2
1921,0,15,2
1921,0,1,2
2401,0,12,2
2401,0,24,2
2401,0,16,2
2401,0,16,2
2401,0,3,2
2401,0,25,2
2401,0,20,2
2401,0,5,2
2401,0,20,2
2401,0,40,2
2401,0,4,2
2401,0,6,2
2401,0,4,2
2401,0,6,2
2401,0,20,2
2401,0,26,2
2401,0,6,2
2401,0,21,2
2401,0,46,2
1801,0,16,3
1801,0,2,3
1801,0,9,3
1801,0,31,3
1801,0,3,3
1801,0,17,3
1801,0,3,3
1801,0,10,3
1801,0,25,3
1801,0,20,3
1801,0,7,3
1801,0,1,3
1801,0,1,3
1801,0,19,3
1801,0,6,3
1801,0,2,3
1801,0,2,3
1801,0,22,3
1801,0,11,3
1801,0,1,3
1861,0,16,3
1861,0,31,3
1861,0,31,3
1861,0,3,3
1861,0,17,3
1861,0,3,3
1861,0,10,3
1861,0,5,3
1861,0,20,3
1861,0,38,3
1861,0,1,3
1861,0,19,3
1861,0,6,3
1861,0,2,3
1861,0,2,3
1861,0,22,3
1861,0,11,3
1861,0,1,3
1921,0,16,3
1921,0,31,3
1921,0,31,3
1921,0,3,3
1921,0,17,3
1921,0,3,3
1921,0,10,3
1921,0,5,3
1921,0,20,3
1921,0,38,3
1921,0,1,3
1921,0,19,3
1921,0,6,3
1921,0,2,3
1921,0,2,3
1921,0,32,3
1921,0,11,3
1921,0,1,3
2401,0,16,3
2401,0,31,3
2401,0,31,3
2401,0,3,3
2401,0,17,3
2401,0,3,3
2401,0,10,3
2401,0,25,3
2401,0,20,3
2401,0,38,3
2401,0,1,3
2401,0,19,3
2401,0,6,3
2401,0,2,3
2401,0,2,3
2401,0,22,3
2401,0,11,3
2401,0,31,3
1801,0,5,4
1801,0,3,4
1801,0,23,4
1801,0,5,4
1801,0,9,4
1801,0,12,4
1801,0,7,4
1801,0,7,4
1801,0,1,4
1801,0,2,4
1801,0,2,4
1801,0,20,4
1801,0,5,4
1801,0,8,4
1801,0,3,4
1801,0,11,4
1801,0,9,4
1801,0,20,4
1801,0,9,4
1801,0,6,4
1801,0,1,4
1801,0,2,4
1801,0,16,4
1861,0,5,4
1861,0,3,4
1861,0,23,4
1861,0,5,4
1861,0,9,4
1861,0,12,4
1861,0,7,4
1861,0,7,4
1861,0,1,4
1861,0,2,4
1861,0,2,4
1861,0,20,4
1861,0,5,4
1861,0,8,4
1861,0,3,4
1861,0,11,4
1861,0,9,4
1861,0,20,4
1861,0,9,4
1861,0,6,4
1861,0,1,4
1861,0,2,4
1861,0,16,4
1921,0,5,4
1921,0,3,4
1921,0,23,4
1921,0,5,4
1921,0,9,4
1921,0,12,4
1921,0,7,4
1921,0,7,4
1921,0,1,4
1921,0,2,4
1921,0,2,4
1921,0,20,4
1921,0,5,4
1921,0,8,4
1921,0,3,4
1921,0,11,4
1921,0,9,4
1921,0,20,4
1921,0,9,4
1921,0,6,4
1921,0,1,4
1921,0,2,4
1921,0,16,4
2401,0,5,4
2401,0,3,4
2401,0,23,4
2401,0,5,4
2401,0,9,4
2401,0,12,4
2401,0,7,4
2401,0,7,4
2401,0,1,4
2401,0,2,4
2401,0,2,4
2401,0,20,4
2401,0,5,4
2401,0,8,4
2401,0,3,4
2401,0,11,4
2401,0,9,4
2401,0,20,4
2401,0,9,4
2401,0,6,4
2401,0,1,4
2401,0,48,4
1801,0,3,5
1801,0,12,5
1801,0,17,5
1801,0,5,5
1801,0,9,5
1801,0,22,5
1801,0,16,5
1801,0,9,5
1801,0,18,5
1801,0,17,5
1801,0,7,5
1801,0,13,5
1801,0,29,5
1801,0,9,5
1801,0,18,5
1801,0,6,5
1801,0,8,5
1861,0,3,5
1861,0,12,5
1861,0,17,5
1861,0,5,5
1861,0,9,5
1861,0,22,5
1861,0,16,5
1861,0,9,5
1861,0,10,5
1861,0,18,5
1861,0,17,5
1861,0,7,5
1861,0,13,5
1861,0,29,5
1861,0,9,5
1861,0,18,5
1861,0,6,5
1861,0,8,5
1921,0,3,5
1921,0,12,5
1921,0,17,5
1921,0,5,5
1921,0,9,5
1921,0,22,5
1921,0,16,5
1921,0,39,5
1921,0,18,5
1921,0,17,5
1921,0,7,5
1921,0,13,5
1921,0,29,5
1921,0,9,5
1921,0,18,5
1921,0,6,5
1921,0,8,5
2401,0,3,5
2401,0,12,5
2401,0,17,5
2401,0,5,5
2401,0,9,5
2401,0,22,5
2401,0,16,5
2401,0,39,5
2401,0,20,5
2401,0,18,5
2401,0,17,5
2401,0,7,5
2401,0,13,5
2401,0,29,5
2401,0,9,5
2401,0,18,5
2401,0,6,5
2401,0,8,5
1801,0,7,6
1801,0,19,6
1801,0,10,6
1801,0,26,6
1801,0,5,6
1801,0,1,6
1801,0,5,6
1801,0,28,6
1801,0,4,6
1801,0,12,6
1801,0,10,6
1801,0,11,6
1801,0,1,6
1801,0,1,6
1801,0,12,6
1801,0,7,6
1801,0,8,6
1801,0,19,6
1801,0,3,6
1801,0,4,6
1801,0,1,6
1861,0,7,6
1861,0,19,6
1861,0,10,6
1861,0,2,6
1861,0,4,6
1861,0,5,6
1861,0,1,6
1861,0,5,6
1861,0,28,6
1861,0,4,6
1861,0,12,6
1861,0,10,6
1861,0,11,6
1861,0,1,6
1861,0,1,6
1861,0,12,6
1861,0,7,6
1861,0,8,6
1861,0,42,6
1861,0,4,6
1861,0,1,6
1921,0,7,6
1921,0,19,6
1921,0,10,6
1921,0,2,6
1921,0,4,6
1921,0,5,6
1921,0,1,6
1921,0,5,6
1921,0,28,6
1921,0,4,6
1921,0,12,6
1921,0,10,6
1921,0,11,6
1921,0,10,6
1921,0,11,6
1921,0,1,6
1921,0,12,6
1921,0,7,6
1921,0,8,6
1921,0,42,6
1921,0,4,6
1921,0,1,6
2401,0,7,6
2401,0,19,6
2401,0,10,6
2401,0,26,6
2401,0,36,6
2401,0,5,6
2401,0,28,6
2401,0,4,6
2401,0,12,6
2401,0,10,6
2401,0,11,6
2401,0,1,6
2401,0,43,6
2401,0,7,6
2401,0,8,6
2401,0,42,6
2401,0,4,6
2401,0,1,6
1801,0,4,7
1801,0,3,7
1801,0,6,7
1801,0,1,7
1801,0,7,7
1801,0,4,7
1801,0,13,7
1801,0,2,7
1801,0,23,7
1801,0,5,7
1801,0,14,7
1801,0,12,7
1801,0,3,7
1801,0,2,7
1801,0,1,7
1801,0,25,7
1801,0,4,7
1801,0,5,7
1801,0,8,7
1801,0,26,7
1801,0,2,7
1801,0,10,7
1861,0,4,7
1861,0,3,7
1861,0,6,7
1861,0,1,7
1861,0,7,7
1861,0,4,7
1861,0,13,7
1861,0,2,7
1861,0,23,7
1861,0,5,7
1861,0,14,7
1861,0,12,7
1861,0,3,7
1861,0,2,7
1861,0,1,7
1861,0,25,7
1861,0,4,7
1861,0,5,7
1861,0,8,7
1861,0,26,7
1861,0,2,7
1861,0,10,7
1921,0,4,7
1921,0,3,7
1921,0,27,7
1921,0,7,7
1921,0,4,7
1921,0,13,7
1921,0,2,7
1921,0,23,7
1921,0,5,7
1921,0,14,7
1921,0,12,7
1921,0,3,7
1921,0,2,7
1921,0,1,7
1921,0,25,7
1921,0,4,7
1921,0,5,7
1921,0,8,7
1921,0,26,7
1921,0,2,7
1921,0,10,7
2401,0,4,7
2401,0,3,7
2401,0,27,7
2401,0,17,7
2401,0,4,7
2401,0,13,7
2401,0,2,7
2401,0,23,7
2401,0,5,7
2401,0,14,7
2401,0,12,7
2401,0,3,7
2401,0,2,7
2401,0,1,7
2401,0,25,7
2401,0,4,7
2401,0,5,7
2401,0,8,7
2401,0,26,7
2401,0,2,7
2401,0,10,7
1801,0,2,8
1801,0,4,8
1801,0,7,8
1801,0,4,8
1801,0,20,8
1801,0,12,8
1801,0,1,8
1801,0,1,8
1801,0,13,8
1801,0,10,8
1801,0,18,8
1801,0,25,8
1801,0,3,8
1801,0,20,8
1801,0,11,8
1801,0,10,8
1801,0,5,8
1801,0,15,8
1801,0,4,8
1801,0,3,8
1861,0,2,8
1861,0,4,8
1861,0,7,8
1861,0,4,8
1861,0,20,8
1861,0,12,8
1861,0,1,8
1861,0,1,8
1861,0,13,8
1861,0,10,8
1861,0,18,8
1861,0,25,8
1861,0,3,8
1861,0,40,8
1861,0,11,8
1861,0,10,8
1861,0,5,8
1861,0,15,8
1861,0,4,8
1861,0,3,8
1921,0,2,8
1921,0,4,8
1921,0,7,8
1921,0,4,8
1921,0,20,8
1921,0,12,8
1921,0,1,8
1921,0,1,8
1921,0,13,8
1921,0,10,8
1921,0,18,8
1921,0,25,8
1921,0,3,8
1921,0,40,8
1921,0,11,8
1921,0,10,8
1921,0,5,8
1921,0,15,8
1921,0,4,8
1921,0,3,8
2401,0,2,8
2401,0,4,8
2401,0,7,8
2401,0,4,8
2401,0,20,8
2401,0,12,8
2401,0,1,8
2401,0,1,8
2401,0,13,8
2401,0,10,8
2401,0,18,8
2401,0,25,8
2401,0,3,8
2401,0,40,8
2401,0,11,8
2401,0,10,8
2401,0,5,8
2401,0,15,8
2401,0,34,8
2401,0,3,8
1801,0,9,9
1801,0,17,9
1801,0,6,9
1801,0,21,9
1801,0,15,9
1801,0,2,9
1801,0,16,9
1801,0,14,9
1801,0,23,9
1801,0,27,9
1801,0,21,9
1801,0,1,9
1801,0,7,9
1801,0,5,9
1801,0,12,9
1801,0,1,9
1801,0,13,9
1861,0,9,9
1861,0,17,9
1861,0,20,9
1861,0,6,9
1861,0,21,9
1861,0,15,9
1861,0,2,9
1861,0,16,9
1861,0,14,9
1861,0,23,9
1861,0,27,9
1861,0,21,9
1861,0,1,9
1861,0,7,9
1861,0,5,9
1861,0,12,9
1861,0,1,9
1861,0,13,9
1921,0,9,9
1921,0,17,9
1921,0,20,9
1921,0,6,9
1921,0,21,9
1921,0,15,9
1921,0,2,9
1921,0,16,9
1921,0,14,9
1921,0,23,9
1921,0,27,9
1921,0,21,9
1921,0,1,9
1921,0,7,9
1921,0,5,9
1921,0,12,9
1921,0,1,9
1921,0,13,9
2401,0,9,9
2401,0,17,9
2401,0,20,9
2401,0,6,9
2401,0,21,9
2401,0,15,9
2401,0,2,9
2401,0,16,9
2401,0,14,9
2401,0,80,9
2401,0,21,9
2401,0,1,9
2401,0,7,9
2401,0,5,9
2401,0,12,9
2401,0,1,9
2401,0,13,9
1801,0,3,10
1801,0,24,10
1801,0,15,10
1801,0,7,10
1801,0,15,10
1801,0,6,10
1801,0,5,10
1801,0,20,10
1801,0,1,10
1801,0,6,10
1801,0,5,10
1801,0,15,10
1801,0,5,10
1801,0,5,10
1801,0,2,10
1801,0,5,10
1801,0,2,10
1801,0,20,10
1801,0,9,10
1801,0,3,10
1801,0,7,10
1801,0,22,10
1861,0,3,10
1861,0,24,10
1861,0,15,10
1861,0,7,10
1861,0,15,10
1861,0,6,10
1861,0,5,10
1861,0,20,10
1861,0,1,10
1861,0,6,10
1861,0,5,10
1861,0,15,10
1861,0,5,10
1861,0,5,10
1861,0,27,10
1861,0,2,10
1861,0,20,10
1861,0,9,10
1861,0,3,10
1861,0,7,10
1861,0,22,10
1921,0,3,10
1921,0,34,10
1921,0,15,10
1921,0,7,10
1921,0,15,10
1921,0,6,10
1921,0,5,10
1921,0,20,10
1921,0,1,10
1921,0,6,10
1921,0,5,10
1921,0,15,10
1921,0,5,10
1921,0,5,10
1921,0,27,10
1921,0,2,10
1921,0,20,10
1921,0,9,10
1921,0,3,10
1921,0,7,10
1921,0,22,10
2401,0,3,10
2401,0,24,10
2401,0,15,10
2401,0,7,10
2401,0,15,10
2401,0,6,10
2401,0,5,10
2401,0,20,10
2401,0,1,10
2401,0,6,10
2401,0,5,10
2401,0,15,10
2401,0,5,10
2401,0,5,10
2401,0,27,10
2401,0,2,10
2401,0,20,10
2401,0,9,10
2401,0,3,10
2401,0,7,10
2401,0,22,10
1801,0,5,11
1801,0,1,11
1801,0,14,11
1801,0,8,11
1801,0,1,11
1801,0,3,11
1801,0,2,11
1801,0,13,11
1801,0,10,11
1801,0,8,11
1801,0,15,11
1801,0,1,11
1801,0,27,11
1801,0,8,11
1801,0,3,11
1801,0,2,11
1801,0,4,11
1801,0,15,11
1801,0,5,11
1801,0,14,11
1801,0,13,11
1801,0,2,11
1861,0,5,11
1861,0,1,11
1861,0,14,11
1861,0,8,11
1861,0,1,11
1861,0,3,11
1861,0,2,11
1861,0,13,11
1861,0,10,11
1861,0,8,11
1861,0,25,11
1861,0,1,11
1861,0,27,11
1861,0,8,11
1861,0,3,11
1861,0,2,11
1861,0,4,11
1861,0,15,11
1861,0,5,11
1861,0,14,11
1861,0,13,11
1861,0,2,11
1921,0,5,11
1921,0,1,11
1921,0,14,11
1921,0,8,11
1921,0,1,11
1921,0,3,11
1921,0,12,11
1921,0,13,11
1921,0,10,11
1921,0,8,11
1921,0,15,11
1921,0,1,11
1921,0,27,11
1921,0,8,11
1921,0,3,11
1921,0,2,11
1921,0,4,11
1921,0,15,11
1921,0,5,11
1921,0,14,11
1921,0,13,11
1921,0,2,11
2401,0,5,11
2401,0,1,11
2401,0,14,11
2401,0,8,11
2401,0,1,11
2401,0,3,11
2401,0,2,11
2401,0,53,11
2401,0,8,11
2401,0,15,11
2401,0,1,11
2401,0,27,11
2401,0,8,11
2401,0,3,11
2401,0,2,11
2401,0,4,11
2401,0,15,11
2401,0,5,11
2401,0,14,11
2401,0,13,11
2401,0,2,11
1801,0,7,12
1801,0,8,12
1801,0,10,12
1801,0,9,12
1801,0,1,12
1801,0,4,12
1801,0,5,12
1801,0,2,12
1801,0,6,12
1801,0,1,12
1801,0,2,12
1801,0,8,12
1801,0,24,12
1801,0,5,12
1801,0,14,12
1801,0,16,12
1801,0,28,12
1801,0,5,12
1801,0,11,12
1801,0,5,12
1801,0,17,12
1861,0,7,12
1861,0,8,12
1861,0,10,12
1861,0,9,12
1861,0,1,12
1861,0,4,12
1861,0,5,12
1861,0,2,12
1861,0,6,12
1861,0,1,12
1861,0,2,12
1861,0,8,12
1861,0,24,12
1861,0,5,12
1861,0,14,12
1861,0,16,12
1861,0,28,12
1861,0,5,12
1861,0,11,12
1861,0,5,12
1861,0,17,12
1921,0,7,12
1921,0,8,12
1921,0,10,12
1921,0,9,12
1921,0,1,12
1921,0,4,12
1921,0,5,12
1921,0,2,12
1921,0,6,12
1921,0,1,12
1921,0,2,12
1921,0,8,12
1921,0,24,12
1921,0,5,12
1921,0,14,12
1921,0,16,12
1921,0,28,12
1921,0,5,12
1921,0,11,12
1921,0,5,12
1921,0,17,12
2401,0,7,12
2401,0,8,12
2401,0,10,12
2401,0,9,12
2401,0,1,12
2401,0,4,12
2401,0,5,12
2401,0,2,12
2401,0,6,12
2401,0,1,12
2401,0,2,12
2401,0,8,12
2401,0,24,12
2401,0,5,12
2401,0,14,12
