time,fold,size,id
1801,0,1,1
1801,0,6,1
1801,0,4,1
1801,0,11,1
1801,0,2,1
1801,0,10,1
1801,0,11,1
1801,0,8,1
1801,0,40,1
1801,0,1,1
1801,0,11,1
1801,0,17,1
1801,0,1,1
1801,0,6,1
1801,0,16,1
1801,0,9,1
1801,0,8,1
1801,0,6,1
1801,0,33,1
1801,0,21,1
1801,0,13,1
1801,0,1,1
1801,0,12,1
1861,0,1,1
1861,0,6,1
1861,0,4,1
1861,0,11,1
1861,0,2,1
1861,0,10,1
1861,0,11,1
1861,0,8,1
1861,0,40,1
1861,0,1,1
1861,0,11,1
1861,0,17,1
1861,0,1,1
1861,0,6,1
1861,0,16,1
1861,0,9,1
1861,0,8,1
1861,0,6,1
1861,0,33,1
1861,0,21,1
1861,0,13,1
1861,0,1,1
1861,0,12,1
1921,0,1,1
1921,0,6,1
1921,0,4,1
1921,0,11,1
1921,0,2,1
1921,0,10,1
1921,0,11,1
1921,0,8,1
1921,0,40,1
1921,0,1,1
1921,0,11,1
1921,0,17,1
1921,0,1,1
1921,0,6,1
1921,0,16,1
1921,0,9,1
1921,0,8,1
1921,0,6,1
1921,0,33,1
1921,0,21,1
1921,0,13,1
1921,0,1,1
1921,0,12,1
2401,0,1,1
2401,0,6,1
2401,0,4,1
2401,0,11,1
2401,0,2,1
2401,0,10,1
2401,0,11,1
2401,0,8,1
2401,0,40,1
2401,0,1,1
2401,0,11,1
2401,0,17,1
2401,0,1,1
2401,0,6,1
2401,0,16,1
2401,0,9,1
2401,0,8,1
2401,0,36,1
2401,0,33,1
2401,0,21,1
2401,0,13,1
2401,0,1,1
2401,0,12,1
1801,0,3,2
1801,0,11,2
1801,0,4,2
1801,0,3,2
1801,0,20,2
1801,0,12,2
1801,0,1,2
1801,0,22,2
1801,0,5,2
1801,0,17,2
1801,0,12,2
1801,0,14,2
1801,0,15,2
1801,0,9,2
1801,0,11,2
1801,0,3,2
1801,0,8,2
1801,0,2,2
1801,0,15,2
1801,0,16,2
1801,0,21,2
1801,0,12,2
1801,0,18,2
1801,0,40,2
1801,0,10,2
1861,0,3,2
1861,0,11,2
1861,0,4,2
1861,0,3,2
1861,0,20,2
1861,0,12,2
1861,0,1,2
1861,0,22,2
1861,0,5,2
1861,0,17,2
1861,0,12,2
1861,0,14,2
1861,0,15,2
