time,fold,size,id
1801,0,90,1
1801,0,12,1
1801,0,525,1
1801,0,67,1
1801,0,12,1
1801,0,103,1
1801,0,171,1
1801,0,269,1
1801,0,158,1
1801,0,64,1
1801,0,75,1
1801,0,225,1
1801,0,151,1
1801,0,24,1
1801,0,35,1
1801,0,169,1
1801,0,56,1
1801,0,168,1
1801,0,74,1
1801,0,62,1
1801,0,66,1
1801,0,623,1
1801,0,160,1
1801,0,65,1
1801,0,7,1
1801,0,288,1
1801,0,34,1
1801,0,25,1
1801,0,8,1
1801,0,75,1
1801,0,178,1
1801,0,31,1
1861,0,90,1
1861,0,12,1
1861,0,525,1
1861,0,67,1
1861,0,12,1
1861,0,103,1
1861,0,171,1
1861,0,269,1
1861,0,158,1
1861,0,64,1
1861,0,75,1
1861,0,225,1
1861,0,151,1
1861,0,24,1
1861,0,35,1
1861,0,169,1
1861,0,56,1
1861,0,168,1
1861,0,74,1
1861,0,62,1
1861,0,66,1
1861,0,623,1
1861,0,160,1
1861,0,65,1
1861,0,7,1
1861,0,288,1
1861,0,34,1
1861,0,25,1
1861,0,8,1
1861,0,75,1
1861,0,178,1
1861,0,31,1
1921,0,90,1
1921,0,12,1
1921,0,525,1
1921,0,67,1
1921,0,12,1
1921,0,103,1
1921,0,171,1
1921,0,269,1
1921,0,158,1
1921,0,64,1
1921,0,75,1
1921,0,225,1
1921,0,151,1
1921,0,24,1
1921,0,35,1
1921,0,169,1
1921,0,56,1
1921,0,168,1
1921,0,74,1
1921,0,62,1
1921,0,66,1
1921,0,623,1
1921,0,160,1
1921,0,65,1
1921,0,7,1
1921,0,288,1
1921,0,34,1
1921,0,25,1
1921,0,8,1
1921,0,75,1
1921,0,178,1
1921,0,31,1
2401,0,90,1
2401,0,12,1
2401,0,525,1
2401,0,67,1
2401,0,12,1
2401,0,103,1
2401,0,171,1
2401,0,269,1
2401,0,158,1
2401,0,64,1
2401,0,75,1
2401,0,225,1
2401,0,151,1
2401,0,24,1
2401,0,35,1
2401,0,169,1
2401,0,56,1
2401,0,168,1
2401,0,74,1
