time,fold,size,id
1801,0,396,1
1801,0,1874,1
1801,0,1241,1
1801,0,525,1
1801,0,689,1
1801,0,175,1
1861,0,396,1
1861,0,1874,1
1861,0,1241,1
1861,0,525,1
1861,0,278,1
1861,0,391,1
1861,0,175,1
1921,0,2290,1
1921,0,1241,1
1921,0,525,1
1921,0,278,1
1921,0,391,1
1921,0,175,1
2401,0,3551,1
2401,0,525,1
2401,0,884,1
1801,0,321,2
1801,0,191,2
1801,0,1600,2
1801,0,1266,2
1801,0,1542,2
1861,0,321,2
1861,0,191,2
1861,0,1600,2
1861,0,892,2
1861,0,354,2
1861,0,1542,2
1921,0,321,2
1921,0,191,2
1921,0,1600,2
1921,0,892,2
1921,0,354,2
1921,0,1542,2
2401,0,321,2
2401,0,4659,2
1801,0,63,3
1801,0,420,3
1801,0,47,3
1801,0,288,3
1801,0,89,3
1801,0,865,3
1801,0,10,3
1801,0,1392,3
1801,0,571,3
1801,0,1075,3
1861,0,63,3
1861,0,487,3
1861,0,1282,3
1861,0,10,3
1861,0,3078,3
1921,0,63,3
1921,0,1789,3
1921,0,10,3
1921,0,3078,3
2401,0,1902,3
2401,0,3078,3
1801,0,2394,4
1801,0,1017,4
1801,0,242,4
1801,0,95,4
1801,0,575,4
1801,0,495,4
1801,0,62,4
1861,0,2394,4
1861,0,1017,4
1861,0,242,4
1861,0,95,4
1861,0,575,4
1861,0,577,4
1921,0,2394,4
1921,0,1017,4
1921,0,242,4
1921,0,95,4
1921,0,575,4
1921,0,577,4
2401,0,3693,4
2401,0,690,4
2401,0,577,4
1801,0,997,5
1801,0,1534,5
1801,0,910,5
1801,0,1327,5
1801,0,152,5
1861,0,997,5
1861,0,1534,5
1861,0,910,5
1861,0,1327,5
1861,0,152,5
1921,0,997,5
1921,0,1534,5
1921,0,2257,5
1921,0,152,5
2401,0,2551,5
2401,0,2429,5
1801,0,349,6
1801,0,1177,6
1801,0,1173,6
1801,0,1044,6
1801,0,290,6
1801,0,753,6
1801,0,94,6
1861,0,349,6
1861,0,1177,6
1861,0,1927,6
1861,0,290,6
1861,0,290,6
1861,0,753,6
1861,0,94,6
1921,0,349,6
1921,0,1177,6
1921,0,1927,6
1921,0,290,6
1921,0,290,6
1921,0,753,6
1921,0,94,6
2401,0,349,6
2401,0,4631,6
1801,0,1608,7
1801,0,1962,7
1801,0,1390,7
1861,0,1608,7
1861,0,1962,7
1861,0,1390,7
1921,0,1608,7
1921,0,506,7
1921,0,1436,7
1921,0,1390,7
2401,0,1608,7
2401,0,3372,7
1801,0,984,8
1801,0,850,8
1801,0,78,8
1801,0,639,8
1801,0,743,8
1801,0,7,8
1801,0,1245,8
1801,0,314,8
1861,0,1854,8
1861,0,78,8
1861,0,639,8
1861,0,743,8
1861,0,7,8
1861,0,1579,8
1921,0,1854,8
1921,0,78,8
1921,0,639,8
1921,0,743,8
1921,0,7,8
1921,0,1579,8
2401,0,3401,8
2401,0,1579,8
1801,0,611,9
1801,0,1298,9
1801,0,347,9
1801,0,1059,9
1801,0,1228,9
1801,0,357,9
1861,0,611,9
1861,0,1298,9
1861,0,347,9
1861,0,2307,9
1861,0,357,9
1921,0,611,9
1921,0,1298,9
1921,0,347,9
1921,0,2307,9
1921,0,357,9
2401,0,5000,9
1801,0,1545,10
1801,0,603,10
1801,0,1335,10
1801,0,199,10
1801,0,73,10
1801,0,465,10
1801,0,660,10
1861,0,1545,10
1861,0,603,10
1861,0,1335,10
1861,0,292,10
1861,0,465,10
1861,0,660,10
1921,0,1545,10
1921,0,603,10
1921,0,1335,10
1921,0,292,10
1921,0,465,10
1921,0,660,10
2401,0,5000,10
1801,0,438,11
1801,0,490,11
1801,0,3277,11
1801,0,735,11
1861,0,438,11
1861,0,490,11
1861,0,1187,11
1861,0,2070,11
1861,0,735,11
1921,0,438,11
1921,0,490,11
1921,0,1187,11
1921,0,2070,11
1921,0,735,11
2401,0,5000,11
1801,0,3734,12
1801,0,270,12
1801,0,956,12
1861,0,3734,12
1861,0,270,12
1861,0,956,12
1921,0,3734,12
1921,0,1246,12
2401,0,5000,12
1801,0,286,13
1801,0,1461,13
1801,0,405,13
1801,0,729,13
1801,0,1049,13
1801,0,238,13
1801,0,39,13
1801,0,555,13
1801,0,78,13
1861,0,286,13
1861,0,1886,13
1861,0,729,13
1861,0,1049,13
1861,0,238,13
1861,0,39,13
1861,0,653,13
1921,0,286,13
1921,0,1886,13
1921,0,729,13
1921,0,1049,13
1921,0,238,13
1921,0,712,13
2401,0,2941,13
2401,0,1049,13
2401,0,970,13
1801,0,2814,14
1801,0,2166,14
1861,0,2814,14
1861,0,2166,14
1921,0,2814,14
1921,0,2166,14
2401,0,5000,14
1801,0,408,15
1801,0,337,15
1801,0,3990,15
1801,0,205,15
1861,0,765,15
1861,0,3990,15
1861,0,205,15
1921,0,765,15
1921,0,3990,15
1921,0,205,15
2401,0,5000,15
1801,0,551,16
1801,0,796,16
1801,0,469,16
1801,0,212,16
1801,0,1736,16
1801,0,1136,16
1861,0,551,16
1861,0,796,16
1861,0,469,16
1861,0,212,16
1861,0,1736,16
1861,0,1136,16
1921,0,551,16
1921,0,1285,16
1921,0,212,16
1921,0,1736,16
1921,0,1136,16
2401,0,5000,16
1801,0,421,17
1801,0,460,17
1801,0,145,17
1801,0,875,17
1801,0,1511,17
1801,0,729,17
1801,0,739,17
1861,0,421,17
1861,0,460,17
1861,0,145,17
1861,0,875,17
1861,0,424,17
1861,0,1067,17
1861,0,1488,17
1921,0,1961,17
1921,0,424,17
1921,0,1067,17
1921,0,1488,17
2401,0,5000,17
1801,0,47,18
1801,0,248,18
1801,0,700,18
1801,0,802,18
1801,0,1427,18
1801,0,203,18
1801,0,881,18
1801,0,552,18
1861,0,47,18
1861,0,248,18
1861,0,700,18
1861,0,802,18
1861,0,1427,18
1861,0,203,18
1861,0,881,18
1861,0,552,18
1921,0,47,18
1921,0,968,18
1921,0,802,18
1921,0,1650,18
1921,0,881,18
1921,0,552,18
2401,0,47,18
2401,0,4933,18
1801,0,809,19
1801,0,280,19
1801,0,286,19
1801,0,722,19
1801,0,2823,19
1861,0,809,19
1861,0,280,19
1861,0,286,19
1861,0,722,19
1861,0,2823,19
1921,0,809,19
1921,0,280,19
1921,0,76,19
1921,0,190,19
1921,0,722,19
1921,0,2823,19
2401,0,1109,19
2401,0,3871,19
1801,0,1785,20
1801,0,1010,20
1801,0,2011,20
1801,0,134,20
1861,0,1785,20
1861,0,671,20
1861,0,319,20
1861,0,2011,20
1861,0,134,20
1921,0,2815,20
1921,0,2011,20
1921,0,134,20
2401,0,5000,20
1801,0,3705,21
1801,0,320,21
1801,0,935,21
1861,0,3160,21
1861,0,525,21
1861,0,320,21
1861,0,935,21
1921,0,3160,21
1921,0,525,21
1921,0,320,21
1921,0,935,21
2401,0,5000,21
1801,0,116,22
1801,0,520,22
1801,0,1767,22
1801,0,56,22
1801,0,167,22
1801,0,228,22
1801,0,23,22
1801,0,196,22
1801,0,1767,22
1861,0,116,22
1861,0,520,22
1861,0,2030,22
1861,0,487,22
1861,0,1767,22
1921,0,656,22
1921,0,2030,22
1921,0,487,22
1921,0,1767,22
2401,0,5000,22
1801,0,24,23
1801,0,251,23
1801,0,465,23
1801,0,179,23
1801,0,303,23
1801,0,667,23
1801,0,1177,23
1801,0,242,23
1801,0,963,23
1801,0,460,23
1801,0,69,23
1861,0,24,23
1861,0,251,23
1861,0,465,23
1861,0,179,23
1861,0,303,23
1861,0,1864,23
1861,0,242,23
1861,0,963,23
1861,0,460,23
1861,0,69,23
1921,0,24,23
1921,0,251,23
1921,0,465,23
1921,0,179,23
1921,0,303,23
1921,0,1864,23
1921,0,242,23
1921,0,1443,23
1921,0,69,23
2401,0,24,23
2401,0,935,23
2401,0,4001,23
1801,0,1683,24
1801,0,248,24
1801,0,1658,24
1801,0,982,24
1801,0,349,24
1861,0,1683,24
1861,0,248,24
1861,0,2660,24
1861,0,349,24
1921,0,1683,24
1921,0,248,24
1921,0,2660,24
1921,0,349,24
2401,0,5000,24
1801,0,3340,25
1801,0,303,25
1801,0,108,25
1801,0,173,25
1801,0,996,25
1861,0,3663,25
1861,0,301,25
1861,0,996,25
1921,0,3663,25
1921,0,301,25
1921,0,996,25
2401,0,3984,25
2401,0,996,25
1801,0,1204,26
1801,0,1138,26
1801,0,1644,26
1801,0,829,26
1801,0,105,26
1861,0,1204,26
1861,0,1138,26
1861,0,1412,26
1861,0,212,26
1861,0,829,26
1861,0,105,26
1921,0,2362,26
1921,0,1412,26
1921,0,212,26
1921,0,829,26
1921,0,105,26
2401,0,5000,26
1801,0,54,27
1801,0,2548,27
1801,0,692,27
1801,0,1646,27
1861,0,54,27
1861,0,2548,27
1861,0,692,27
1861,0,364,27
1861,0,1262,27
1921,0,54,27
1921,0,2548,27
1921,0,692,27
1921,0,364,27
1921,0,1262,27
2401,0,2622,27
2401,0,2358,27
1801,0,541,28
1801,0,564,28
1801,0,383,28
1801,0,114,28
1801,0,3318,28
1861,0,541,28
1861,0,967,28
1861,0,3452,28
1921,0,541,28
1921,0,967,28
1921,0,3452,28
2401,0,5000,28
1801,0,1536,29
1801,0,159,29
1801,0,977,29
1801,0,387,29
1801,0,534,29
1801,0,1307,29
1861,0,1715,29
1861,0,977,29
1861,0,387,29
1861,0,534,29
1861,0,1307,29
1921,0,1715,29
1921,0,977,29
1921,0,387,29
1921,0,534,29
1921,0,1307,29
2401,0,1715,29
2401,0,977,29
2401,0,2268,29
1801,0,2454,30
1801,0,647,30
1801,0,1859,30
1861,0,3121,30
1861,0,1859,30
1921,0,3121,30
1921,0,1859,30
2401,0,5000,30
1801,0,563,31
1801,0,748,31
1801,0,10,31
1801,0,438,31
1801,0,704,31
1801,0,2359,31
1801,0,58,31
1861,0,563,31
1861,0,748,31
1861,0,47,31
1861,0,401,31
1861,0,704,31
1861,0,2359,31
1861,0,58,31
1921,0,563,31
1921,0,815,31
1921,0,1125,31
1921,0,2359,31
1921,0,58,31
2401,0,1398,31
2401,0,3582,31
1801,0,309,32
1801,0,469,32
1801,0,2455,32
1801,0,1707,32
1861,0,309,32
1861,0,469,32
1861,0,365,32
1861,0,2070,32
1861,0,1707,32
1921,0,798,32
1921,0,365,32
1921,0,2070,32
1921,0,1707,32
2401,0,1183,32
2401,0,2070,32
2401,0,1707,32
1801,0,295,33
1801,0,453,33
1801,0,168,33
1801,0,2104,33
1801,0,1900,33
1861,0,295,33
1861,0,641,33
1861,0,2104,33
1861,0,1900,33
1921,0,295,33
1921,0,641,33
1921,0,4024,33
2401,0,295,33
2401,0,641,33
2401,0,4024,33
1801,0,1618,34
1801,0,647,34
1801,0,466,34
1801,0,2124,34
