time,fold,size,id
1801,0,163,1
1801,0,71,1
1801,0,263,1
1801,0,32,1
1801,0,39,1
1801,0,191,1
1801,0,45,1
1801,0,217,1
1801,0,115,1
1801,0,1,1
1801,0,77,1
1801,0,227,1
1801,0,54,1
1801,0,167,1
1801,0,242,1
1801,0,60,1
1801,0,40,1
1801,0,75,1
1801,0,147,1
1801,0,6,1
1801,0,47,1
1801,0,7,1
1801,0,42,1
1801,0,52,1
1801,0,96,1
1801,0,101,1
1801,0,123,1
1801,0,88,1
1801,0,11,1
1801,0,141,1
1801,0,240,1
1801,0,176,1
1801,0,94,1
1801,0,142,1
1801,0,428,1
1861,0,163,1
1861,0,71,1
1861,0,263,1
1861,0,32,1
1861,0,39,1
1861,0,191,1
1861,0,45,1
1861,0,48,1
1861,0,149,1
1861,0,115,1
1861,0,1,1
1861,0,77,1
1861,0,227,1
1861,0,54,1
1861,0,167,1
1861,0,242,1
1861,0,60,1
1861,0,40,1
1861,0,75,1
1861,0,147,1
1861,0,6,1
1861,0,47,1
1861,0,7,1
1861,0,42,1
1861,0,52,1
1861,0,96,1
1861,0,101,1
1861,0,123,1
1861,0,88,1
1861,0,11,1
1861,0,141,1
1861,0,240,1
1861,0,176,1
1861,0,94,1
1861,0,142,1
1861,0,428,1
1921,0,163,1
1921,0,71,1
1921,0,263,1
1921,0,32,1
1921,0,39,1
1921,0,191,1
1921,0,45,1
1921,0,48,1
1921,0,149,1
1921,0,115,1
1921,0,1,1
1921,0,77,1
1921,0,227,1
1921,0,54,1
1921,0,167,1
1921,0,242,1
1921,0,60,1
1921,0,40,1
1921,0,75,1
1921,0,147,1
1921,0,6,1
1921,0,47,1
1921,0,7,1
1921,0,42,1
1921,0,52,1
1921,0,96,1
1921,0,101,1
1921,0,123,1
1921,0,88,1
1921,0,11,1
1921,0,141,1
1921,0,240,1
1921,0,176,1
1921,0,94,1
1921,0,142,1
1921,0,428,1
2401,0,163,1
2401,0,71,1
2401,0,263,1
2401,0,32,1
2401,0,39,1
2401,0,191,1
2401,0,45,1
2401,0,48,1
2401,0,139,1
2401,0,115,1
2401,0,1,1
2401,0,77,1
2401,0,217,1
2401,0,54,1
2401,0,167,1
2401,0,242,1
2401,0,60,1
2401,0,40,1
2401,0,65,1
2401,0,147,1
2401,0,6,1
2401,0,47,1
2401,0,7,1
2401,0,42,1
2401,0,52,1
2401,0,96,1
2401,0,101,1
2401,0,123,1
2401,0,88,1
2401,0,11,1
2401,0,141,1
2401,0,240,1
2401,0,176,1
2401,0,94,1
2401,0,142,1
2401,0,428,1
1801,0,140,2
1801,0,4,2
1801,0,49,2
1801,0,104,2
1801,0,42,2
1801,0,76,2
1801,0,75,2
1801,0,9,2
1801,0,114,2
1801,0,15,2
1801,0,4,2
1801,0,5,2
1801,0,104,2
1801,0,28,2
1801,0,122,2
1801,0,76,2
1801,0,34,2
1801,0,155,2
1801,0,29,2
1801,0,2,2
1801,0,239,2
1801,0,9,2
1801,0,87,2
1801,0,328,2
1801,0,66,2
1801,0,44,2
1801,0,55,2
1801,0,32,2
1801,0,132,2
1801,0,89,2
1801,0,13,2
1801,0,41,2
1801,0,364,2
1801,0,52,2
1801,0,149,2
1801,0,37,2
1801,0,39,2
1801,0,57,2
1801,0,234,2
1801,0,83,2
1801,0,8,2
