time,fold,size,id
1801,0,51,1
1801,0,45,1
1801,0,41,1
1801,0,34,1
1801,0,39,1
1801,0,54,1
1801,0,20,1
1801,0,6,1
1801,0,4,1
1801,0,61,1
1801,0,22,1
1801,0,150,1
1801,0,125,1
1801,0,113,1
1801,0,7,1
1801,0,68,1
1801,0,8,1
1801,0,66,1
1801,0,16,1
1801,0,13,1
1801,0,1,1
1801,0,31,1
1801,0,70,1
1801,0,10,1
1801,0,31,1
1801,0,2,1
1801,0,59,1
1801,0,42,1
1801,0,8,1
1801,0,22,1
1801,0,234,1
1801,0,8,1
1801,0,27,1
1801,0,16,1
1801,0,46,1
1801,0,49,1
1801,0,79,1
1801,0,32,1
1801,0,30,1
1801,0,164,1
1801,0,7,1
1801,0,255,1
1801,0,4,1
1801,0,12,1
1801,0,63,1
1801,0,41,1
1801,0,60,1
1801,0,24,1
1801,0,64,1
1801,0,15,1
1801,0,25,1
1801,0,34,1
1801,0,20,1
1801,0,28,1
1801,0,32,1
1801,0,283,1
1801,0,9,1
1801,0,17,1
1801,0,58,1
1801,0,32,1
1801,0,58,1
1801,0,11,1
1801,0,64,1
1861,0,51,1
1861,0,45,1
1861,0,41,1
1861,0,34,1
1861,0,39,1
1861,0,54,1
1861,0,20,1
1861,0,6,1
1861,0,4,1
1861,0,61,1
1861,0,22,1
1861,0,150,1
1861,0,125,1
1861,0,113,1
1861,0,7,1
1861,0,68,1
1861,0,8,1
1861,0,66,1
1861,0,16,1
1861,0,13,1
1861,0,1,1
1861,0,31,1
1861,0,70,1
1861,0,10,1
1861,0,31,1
1861,0,2,1
1861,0,59,1
1861,0,42,1
1861,0,8,1
1861,0,22,1
1861,0,234,1
1861,0,8,1
1861,0,27,1
1861,0,16,1
1861,0,46,1
1861,0,49,1
1861,0,79,1
1861,0,32,1
1861,0,30,1
1861,0,164,1
1861,0,7,1
1861,0,255,1
1861,0,4,1
1861,0,12,1
1861,0,63,1
1861,0,41,1
1861,0,60,1
1861,0,24,1
1861,0,64,1
1861,0,15,1
1861,0,25,1
1861,0,34,1
1861,0,20,1
1861,0,28,1
1861,0,32,1
1861,0,283,1
1861,0,9,1
1861,0,17,1
1861,0,58,1
1861,0,32,1
1861,0,58,1
1861,0,11,1
1861,0,64,1
1921,0,51,1
1921,0,45,1
1921,0,41,1
1921,0,34,1
1921,0,39,1
1921,0,54,1
1921,0,20,1
1921,0,6,1
1921,0,4,1
1921,0,61,1
1921,0,22,1
1921,0,150,1
1921,0,125,1
1921,0,113,1
1921,0,7,1
1921,0,68,1
1921,0,8,1
1921,0,66,1
1921,0,16,1
