time,fold,size,id
1801,0,3,1
1801,0,2,1
1801,0,20,1
1801,0,1,1
1801,0,10,1
1801,0,4,1
1801,0,1,1
1801,0,1,1
1801,0,2,1
1801,0,2,1
1801,0,7,1
1801,0,1,1
1801,0,20,1
1801,0,3,1
1801,0,5,1
1801,0,12,1
1801,0,8,1
1801,0,6,1
1801,0,3,1
1801,0,1,1
1801,0,16,1
1801,0,5,1
1801,0,17,1
1801,0,4,1
1801,0,7,1
1801,0,6,1
1801,0,6,1
1801,0,20,1
1801,0,8,1
1801,0,32,1
1801,0,7,1
1801,0,13,1
1801,0,7,1
1801,0,2,1
1801,0,9,1
1801,0,8,1
1801,0,7,1
1801,0,20,1
1801,0,11,1
1801,0,5,1
1801,0,11,1
1801,0,8,1
1801,0,2,1
1801,0,4,1
1801,0,2,1
1801,0,6,1
1801,0,3,1
1801,0,6,1
1801,0,12,1
1801,0,11,1
1801,0,3,1
1801,0,11,1
1801,0,3,1
1801,0,17,1
1801,0,4,1
1801,0,11,1
1801,0,11,1
1801,0,9,1
1801,0,4,1
1801,0,3,1
1801,0,16,1
1801,0,5,1
1801,0,20,1
1801,0,7,1
1801,0,7,1
1801,0,3,1
1801,0,12,1
1801,0,10,1
1801,0,20,1
1801,0,7,1
1801,0,14,1
1801,0,7,1
1801,0,1,1
1801,0,2,1
1801,0,12,1
1801,0,2,1
1801,0,2,1
1801,0,4,1
1801,0,5,1
1801,0,7,1
1801,0,5,1
1801,0,18,1
1801,0,1,1
1801,0,20,1
1801,0,3,1
1801,0,2,1
1801,0,2,1
1801,0,20,1
1801,0,7,1
1801,0,15,1
1801,0,2,1
1801,0,8,1
1801,0,1,1
1801,0,21,1
1801,0,8,1
1801,0,5,1
1801,0,14,1
1801,0,3,1
1801,0,11,1
1801,0,1,1
1801,0,2,1
1801,0,2,1
1801,0,11,1
1801,0,22,1
1801,0,3,1
1801,0,1,1
1801,0,10,1
1801,0,1,1
1801,0,20,1
1801,0,5,1
1801,0,1,1
1801,0,7,1
1801,0,13,1
1801,0,4,1
1801,0,5,1
1801,0,7,1
1801,0,4,1
1801,0,6,1
1801,0,1,1
1801,0,9,1
1801,0,17,1
1801,0,14,1
1801,0,1,1
1801,0,1,1
1801,0,4,1
1801,0,3,1
1801,0,39,1
1801,0,1,1
1801,0,10,1
1801,0,5,1
1801,0,5,1
1801,0,10,1
1801,0,20,1
1801,0,4,1
1801,0,21,1
1801,0,1,1
1801,0,20,1
1801,0,1,1
1801,0,3,1
1801,0,19,1
1801,0,3,1
1801,0,1,1
1801,0,5,1
1801,0,13,1
1801,0,4,1
1801,0,11,1
1801,0,5,1
1861,0,3,1
1861,0,2,1
1861,0,20,1
1861,0,1,1
1861,0,10,1
1861,0,4,1
1861,0,22,1
1861,0,2,1
1861,0,39,1
1861,0,1,1
1861,0,20,1
1861,0,3,1
1861,0,15,1
1861,0,12,1
1861,0,8,1
1861,0,6,1
1861,0,24,1
1861,0,16,1
1861,0,5,1
1861,0,17,1
1861,0,4,1
1861,0,7,1
1861,0,6,1
1861,0,6,1
1861,0,20,1
1861,0,8,1
1861,0,32,1
1861,0,7,1
1861,0,13,1
1861,0,7,1
1861,0,2,1
1861,0,9,1
1861,0,8,1
1861,0,7,1
1861,0,20,1
1861,0,11,1
1861,0,5,1
1861,0,1,1
1861,0,8,1
1861,0,2,1
1861,0,4,1
1861,0,2,1
1861,0,6,1
1861,0,13,1
1861,0,6,1
1861,0,12,1
1861,0,11,1
1861,0,3,1
1861,0,11,1
1861,0,3,1
1861,0,17,1
1861,0,4,1
1861,0,11,1
1861,0,50,1
1861,0,4,1
1861,0,3,1
1861,0,16,1
1861,0,5,1
1861,0,20,1
1861,0,7,1
1861,0,40,1
1861,0,12,1
1861,0,10,1
1861,0,20,1
1861,0,7,1
1861,0,14,1
1861,0,7,1
1861,0,1,1
1861,0,2,1
1861,0,12,1
1861,0,2,1
1861,0,2,1
1861,0,4,1
1861,0,5,1
1861,0,7,1
1861,0,5,1
1861,0,18,1
1861,0,1,1
1861,0,20,1
1861,0,3,1
1861,0,2,1
1861,0,2,1
1861,0,20,1
1861,0,7,1
1861,0,15,1
1861,0,2,1
1861,0,8,1
1861,0,1,1
1861,0,21,1
1861,0,8,1
1861,0,5,1
1861,0,14,1
1861,0,3,1
1861,0,11,1
1861,0,1,1
1861,0,2,1
1861,0,2,1
1861,0,11,1
1861,0,22,1
1861,0,3,1
1861,0,1,1
1861,0,10,1
1861,0,1,1
1861,0,20,1
1861,0,5,1
1861,0,1,1
1861,0,7,1
1861,0,3,1
1861,0,4,1
1861,0,5,1
1861,0,7,1
1861,0,4,1
1861,0,6,1
1861,0,1,1
1861,0,9,1
1861,0,17,1
1861,0,14,1
1861,0,1,1
1861,0,1,1
1861,0,4,1
1861,0,3,1
1861,0,39,1
1861,0,1,1
1861,0,10,1
1861,0,40,1
1861,0,10,1
1861,0,20,1
1861,0,4,1
1861,0,21,1
1861,0,1,1
1861,0,20,1
1861,0,24,1
1861,0,19,1
1861,0,49,1
1861,0,13,1
1861,0,4,1
1861,0,11,1
1861,0,5,1
1921,0,3,1
1921,0,2,1
1921,0,20,1
1921,0,1,1
1921,0,10,1
1921,0,4,1
1921,0,22,1
1921,0,2,1
1921,0,39,1
1921,0,1,1
1921,0,20,1
1921,0,3,1
1921,0,5,1
1921,0,12,1
1921,0,8,1
1921,0,6,1
1921,0,24,1
1921,0,16,1
1921,0,52,1
1921,0,4,1
1921,0,7,1
1921,0,6,1
1921,0,6,1
1921,0,20,1
1921,0,8,1
1921,0,32,1
1921,0,7,1
1921,0,13,1
1921,0,7,1
1921,0,2,1
1921,0,9,1
1921,0,8,1
1921,0,7,1
1921,0,20,1
1921,0,11,1
1921,0,5,1
1921,0,1,1
1921,0,38,1
1921,0,2,1
1921,0,4,1
1921,0,2,1
1921,0,6,1
1921,0,3,1
1921,0,6,1
1921,0,12,1
1921,0,11,1
1921,0,3,1
1921,0,11,1
1921,0,50,1
1921,0,4,1
1921,0,11,1
1921,0,50,1
1921,0,4,1
1921,0,3,1
1921,0,16,1
1921,0,5,1
1921,0,20,1
1921,0,7,1
1921,0,40,1
1921,0,12,1
1921,0,10,1
1921,0,20,1
1921,0,7,1
1921,0,14,1
1921,0,7,1
1921,0,1,1
1921,0,2,1
1921,0,12,1
1921,0,34,1
1921,0,4,1
1921,0,5,1
1921,0,7,1
1921,0,5,1
1921,0,18,1
1921,0,1,1
1921,0,20,1
1921,0,3,1
1921,0,2,1
1921,0,2,1
1921,0,20,1
1921,0,7,1
1921,0,15,1
1921,0,2,1
1921,0,8,1
1921,0,1,1
1921,0,21,1
1921,0,8,1
1921,0,5,1
1921,0,14,1
1921,0,3,1
1921,0,11,1
1921,0,1,1
1921,0,2,1
1921,0,2,1
1921,0,11,1
1921,0,22,1
1921,0,3,1
1921,0,1,1
1921,0,10,1
1921,0,1,1
1921,0,20,1
1921,0,5,1
1921,0,1,1
1921,0,40,1
1921,0,4,1
1921,0,5,1
1921,0,7,1
1921,0,4,1
1921,0,6,1
1921,0,1,1
1921,0,9,1
1921,0,17,1
1921,0,14,1
1921,0,1,1
1921,0,1,1
1921,0,4,1
1921,0,3,1
1921,0,39,1
1921,0,1,1
1921,0,10,1
1921,0,40,1
1921,0,10,1
1921,0,20,1
1921,0,4,1
1921,0,21,1
1921,0,1,1
1921,0,20,1
1921,0,24,1
1921,0,19,1
1921,0,49,1
1921,0,13,1
1921,0,4,1
1921,0,11,1
1921,0,5,1
2401,0,3,1
2401,0,2,1
2401,0,20,1
2401,0,31,1
2401,0,10,1
2401,0,4,1
2401,0,54,1
2401,0,39,1
2401,0,1,1
2401,0,20,1
2401,0,38,1
2401,0,12,1
2401,0,8,1
2401,0,60,1
2401,0,16,1
2401,0,52,1
2401,0,4,1
2401,0,7,1
2401,0,42,1
2401,0,20,1
2401,0,8,1
2401,0,32,1
2401,0,7,1
2401,0,13,1
2401,0,7,1
2401,0,2,1
2401,0,47,1
2401,0,7,1
2401,0,20,1
2401,0,46,1
2401,0,1,1
2401,0,38,1
2401,0,2,1
2401,0,4,1
2401,0,2,1
2401,0,6,1
2401,0,3,1
2401,0,48,1
2401,0,44,1
2401,0,11,1
2401,0,50,1
2401,0,4,1
2401,0,91,1
2401,0,4,1
2401,0,49,1
2401,0,5,1
2401,0,20,1
2401,0,7,1
2401,0,40,1
2401,0,12,1
2401,0,10,1
2401,0,20,1
2401,0,7,1
2401,0,51,1
2401,0,33,1
2401,0,12,1
2401,0,34,1
2401,0,4,1
2401,0,5,1
2401,0,7,1
2401,0,5,1
2401,0,18,1
2401,0,1,1
2401,0,20,1
2401,0,3,1
2401,0,2,1
2401,0,2,1
2401,0,20,1
2401,0,7,1
2401,0,15,1
2401,0,32,1
2401,0,39,1
2401,0,21,1
2401,0,8,1
2401,0,5,1
2401,0,44,1
2401,0,3,1
2401,0,41,1
2401,0,1,1
2401,0,64,1
2401,0,11,1
2401,0,22,1
2401,0,3,1
2401,0,1,1
2401,0,10,1
2401,0,1,1
2401,0,20,1
2401,0,5,1
2401,0,1,1
2401,0,40,1
2401,0,39,1
2401,0,7,1
2401,0,4,1
2401,0,6,1
2401,0,1,1
2401,0,9,1
2401,0,17,1
2401,0,75,1
2401,0,1,1
2401,0,4,1
2401,0,3,1
2401,0,39,1
2401,0,1,1
2401,0,10,1
2401,0,40,1
2401,0,10,1
2401,0,20,1
2401,0,55,1
2401,0,1,1
2401,0,20,1
2401,0,24,1
2401,0,19,1
2401,0,49,1
2401,0,13,1
2401,0,4,1
2401,0,11,1
2401,0,5,1
1801,0,3,2
1801,0,6,2
1801,0,2,2
1801,0,19,2
1801,0,10,2
1801,0,6,2
1801,0,4,2
1801,0,10,2
1801,0,9,2
1801,0,9,2
1801,0,1,2
1801,0,4,2
1801,0,3,2
1801,0,10,2
1801,0,1,2
1801,0,5,2
1801,0,5,2
1801,0,13,2
1801,0,3,2
1801,0,9,2
1801,0,11,2
1801,0,1,2
1801,0,19,2
1801,0,3,2
1801,0,6,2
1801,0,20,2
1801,0,11,2
1801,0,14,2
1801,0,5,2
1801,0,4,2
1801,0,11,2
1801,0,2,2
1801,0,20,2
1801,0,6,2
1801,0,3,2
1801,0,1,2
1801,0,4,2
1801,0,20,2
1801,0,1,2
1801,0,3,2
1801,0,6,2
1801,0,1,2
1801,0,1,2
1801,0,9,2
1801,0,2,2
1801,0,5,2
1801,0,11,2
1801,0,4,2
1801,0,7,2
1801,0,3,2
1801,0,2,2
1801,0,4,2
1801,0,6,2
1801,0,9,2
1801,0,11,2
1801,0,2,2
1801,0,33,2
1801,0,3,2
1801,0,20,2
1801,0,7,2
1801,0,20,2
1801,0,7,2
1801,0,4,2
1801,0,20,2
1801,0,10,2
1801,0,18,2
1801,0,6,2
1801,0,22,2
1801,0,6,2
1801,0,1,2
1801,0,20,2
1801,0,12,2
1801,0,4,2
1801,0,5,2
1801,0,5,2
1801,0,3,2
1801,0,1,2
1801,0,16,2
1801,0,8,2
1801,0,2,2
1801,0,14,2
1801,0,1,2
1801,0,4,2
1801,0,6,2
1801,0,15,2
1801,0,10,2
1801,0,12,2
1801,0,7,2
1801,0,6,2
1801,0,7,2
1801,0,1,2
1801,0,5,2
1801,0,14,2
1801,0,2,2
1801,0,8,2
1801,0,23,2
1801,0,2,2
1801,0,3,2
1801,0,7,2
1801,0,8,2
1801,0,2,2
1801,0,1,2
1801,0,2,2
1801,0,1,2
1801,0,8,2
1801,0,11,2
1801,0,8,2
1801,0,5,2
1801,0,10,2
1801,0,3,2
1801,0,3,2
1801,0,9,2
1801,0,20,2
1801,0,10,2
1801,0,3,2
1801,0,5,2
1801,0,11,2
1801,0,9,2
1801,0,1,2
1801,0,5,2
1801,0,1,2
1801,0,11,2
1801,0,2,2
1801,0,9,2
1801,0,1,2
1801,0,1,2
1801,0,9,2
1801,0,8,2
1801,0,2,2
1801,0,16,2
1801,0,7,2
1801,0,20,2
1801,0,1,2
1801,0,1,2
1801,0,8,2
1801,0,5,2
1801,0,3,2
1801,0,5,2
1801,0,19,2
1801,0,20,2
1801,0,11,2
1801,0,2,2
1801,0,20,2
1801,0,1,2
1801,0,13,2
1801,0,4,2
1801,0,10,2
1801,0,7,2
1801,0,5,2
1801,0,5,2
1801,0,12,2
1861,0,3,2
1861,0,6,2
1861,0,12,2
1861,0,19,2
1861,0,10,2
1861,0,6,2
1861,0,4,2
1861,0,10,2
1861,0,9,2
1861,0,9,2
1861,0,1,2
1861,0,4,2
1861,0,3,2
1861,0,10,2
1861,0,1,2
1861,0,5,2
