time,fold,D1,size,id
1801,0,1000.0,8,1
1801,0,1000.0,140,1
1801,0,1000.0,20,1
1801,0,1000.0,205,1
1801,0,1000.0,17,1
1861,0,1000.0,215,1
1861,0,1000.0,18,1
1861,0,1000.0,102,1
1861,0,1000.0,23,1
1861,0,1000.0,32,1
1921,0,1000.0,134,1
1921,0,1000.0,116,1
1921,0,1000.0,1,1
1921,0,1000.0,28,1
1921,0,1000.0,101,1
2401,0,1000.0,19,1
2401,0,1000.0,96,1
2401,0,1000.0,105,1
2401,0,1000.0,134,1
2401,0,1000.0,36,1
1801,0,1000.0,179,2
1801,0,1000.0,116,2
1801,0,1000.0,92,2
1801,0,1000.0,23,2
1861,0,1000.0,4,2
1861,0,1000.0,341,2
1861,0,1000.0,12,2
1861,0,1000.0,53,2
1921,0,1000.0,14,2
1921,0,1000.0,169,2
1921,0,1000.0,16,2
1921,0,1000.0,221,2
2401,0,1000.0,1,2
2401,0,1000.0,90,2
2401,0,1000.0,111,2
2401,0,1000.0,208,2
1801,0,1000.0,14,3
1801,0,1000.0,83,3
1801,0,1000.0,118,3
1801,0,1000.0,63,3
1801,0,1000.0,57,3
1801,0,1000.0,25,3
1861,0,1000.0,81,3
1861,0,1000.0,143,3
1861,0,1000.0,82,3
1861,0,1000.0,54,3
1921,0,1000.0,117,3
1921,0,1000.0,43,3
1921,0,1000.0,67,3
1921,0,1000.0,21,3
1921,0,1000.0,112,3
2401,0,1000.0,11,3
2401,0,1000.0,243,3
2401,0,1000.0,2,3
2401,0,1000.0,38,3
2401,0,1000.0,37,3
2401,0,1000.0,19,3
1801,0,1000.0,47,4
1801,0,1000.0,31,4
1801,0,1000.0,78,4
1801,0,1000.0,106,4
1801,0,1000.0,118,4
1861,0,1000.0,8,4
1861,0,1000.0,124,4
1861,0,1000.0,49,4
1861,0,1000.0,193,4
1861,0,1000.0,6,4
1921,0,1000.0,37,4
1921,0,1000.0,118,4
1921,0,1000.0,116,4
1921,0,1000.0,58,4
1921,0,1000.0,51,4
2401,0,1000.0,106,4
2401,0,1000.0,28,4
2401,0,1000.0,99,4
2401,0,1000.0,32,4
2401,0,1000.0,125,4
