time,fold,size,id
1801,0,4,1
1801,0,3,1
1801,0,7,1
1801,0,20,1
1801,0,10,1
1801,0,1,1
1801,0,4,1
1801,0,10,1
1801,0,1,1
1861,0,2,1
1861,0,2,1
1861,0,1,1
1861,0,7,1
1861,0,3,1
1861,0,6,1
1861,0,18,1
1861,0,10,1
1861,0,1,1
1921,0,24,1
1921,0,6,1
1921,0,1,1
1921,0,15,1
1921,0,23,1
1921,0,10,1
1921,0,1,1
2401,0,2,1
2401,0,8,1
2401,0,63,1
2401,0,20,1
2401,0,36,1
2401,0,10,1
2401,0,1,1
1801,0,4,2
1801,0,8,2
1801,0,5,2
1801,0,7,2
1801,0,3,2
1801,0,4,2
1801,0,9,2
1861,0,12,2
1861,0,4,2
1861,0,1,2
1861,0,13,2
1861,0,24,2
1861,0,20,2
1861,0,3,2
1861,0,4,2
1861,0,9,2
1921,0,4,2
1921,0,7,2
1921,0,25,2
1921,0,15,2
1921,0,3,2
1921,0,20,2
1921,0,3,2
1921,0,4,2
1921,0,9,2
2401,0,5,2
2401,0,105,2
2401,0,4,2
2401,0,20,2
2401,0,3,2
2401,0,4,2
2401,0,9,2
1801,0,29,3
1801,0,6,3
1801,0,18,3
1801,0,20,3
1801,0,16,3
1801,0,2,3
1801,0,1,3
1801,0,13,3
1801,0,1,3
1861,0,80,3
1861,0,3,3
1861,0,18,3
1861,0,2,3
1861,0,18,3
1861,0,1,3
1861,0,4,3
1921,0,57,3
1921,0,46,3
1921,0,6,3
1921,0,24,3
1921,0,18,3
1921,0,1,3
1921,0,4,3
2401,0,85,3
2401,0,18,3
2401,0,60,3
2401,0,18,3
2401,0,1,3
2401,0,4,3
1801,0,8,4
1801,0,10,4
1801,0,8,4
1801,0,1,4
1801,0,4,4
1801,0,10,4
1801,0,3,4
1801,0,10,4
1801,0,21,4
1801,0,7,4
1861,0,21,4
1861,0,16,4
1861,0,9,4
1861,0,5,4
1861,0,10,4
1861,0,3,4
1861,0,10,4
1861,0,21,4
1861,0,7,4
1921,0,1,4
1921,0,29,4
1921,0,9,4
1921,0,6,4
1921,0,6,4
1921,0,10,4
1921,0,3,4
1921,0,10,4
1921,0,21,4
1921,0,7,4
2401,0,28,4
2401,0,64,4
2401,0,19,4
2401,0,10,4
2401,0,3,4
2401,0,10,4
2401,0,21,4
2401,0,7,4
1801,0,7,5
1801,0,6,5
1801,0,8,5
1801,0,20,5
1801,0,6,5
1801,0,1,5
1801,0,2,5
1801,0,8,5
1801,0,5,5
1801,0,1,5
1801,0,10,5
1861,0,14,5
1861,0,22,5
1861,0,15,5
1861,0,20,5
