time,fold,size,id
1801,0,107,1
1801,0,14,1
1801,0,32,1
1801,0,31,1
1801,0,28,1
1801,0,11,1
1801,0,10,1
1801,0,15,1
1801,0,59,1
1801,0,93,1
1801,0,10,1
1801,0,122,1
1801,0,46,1
1801,0,33,1
1801,0,24,1
1801,0,12,1
1801,0,145,1
1801,0,53,1
1801,0,18,1
1801,0,49,1
1801,0,42,1
1801,0,67,1
1801,0,198,1
1801,0,113,1
1801,0,11,1
1801,0,102,1
1801,0,57,1
1801,0,99,1
1801,0,13,1
1801,0,128,1
1801,0,84,1
1801,0,55,1
1801,0,29,1
1801,0,5,1
1801,0,39,1
1801,0,144,1
1801,0,57,1
1801,0,155,1
1801,0,4,1
1801,0,25,1
1801,0,51,1
1801,0,20,1
1801,0,4,1
1801,0,5,1
1801,0,13,1
1801,0,31,1
1801,0,7,1
1801,0,151,1
1801,0,18,1
1801,0,110,1
1801,0,75,1
1801,0,58,1
1801,0,113,1
1801,0,28,1
1801,0,64,1
1801,0,154,1
1801,0,26,1
1801,0,30,1
1801,0,21,1
1801,0,129,1
1801,0,273,1
1861,0,107,1
1861,0,14,1
1861,0,32,1
1861,0,31,1
1861,0,28,1
1861,0,11,1
1861,0,10,1
1861,0,15,1
1861,0,59,1
1861,0,93,1
1861,0,10,1
1861,0,122,1
1861,0,46,1
1861,0,33,1
1861,0,24,1
1861,0,12,1
1861,0,145,1
1861,0,53,1
1861,0,18,1
1861,0,49,1
1861,0,42,1
1861,0,67,1
1861,0,198,1
1861,0,113,1
1861,0,11,1
1861,0,102,1
1861,0,57,1
1861,0,99,1
1861,0,13,1
1861,0,128,1
1861,0,84,1
1861,0,55,1
1861,0,29,1
1861,0,5,1
1861,0,39,1
1861,0,144,1
1861,0,57,1
1861,0,155,1
1861,0,4,1
1861,0,25,1
1861,0,51,1
1861,0,20,1
1861,0,4,1
1861,0,5,1
1861,0,13,1
1861,0,31,1
1861,0,7,1
1861,0,151,1
1861,0,18,1
1861,0,110,1
1861,0,75,1
1861,0,58,1
1861,0,113,1
1861,0,28,1
1861,0,64,1
1861,0,20,1
1861,0,114,1
1861,0,26,1
1861,0,30,1
1861,0,21,1
1861,0,129,1
1861,0,273,1
1921,0,107,1
1921,0,14,1
1921,0,32,1
1921,0,31,1
1921,0,28,1
1921,0,11,1
1921,0,10,1
1921,0,15,1
1921,0,59,1
1921,0,93,1
1921,0,10,1
1921,0,122,1
1921,0,46,1
1921,0,33,1
1921,0,24,1
1921,0,12,1
1921,0,145,1
1921,0,53,1
1921,0,18,1
1921,0,49,1
1921,0,42,1
1921,0,67,1
1921,0,198,1
1921,0,113,1
1921,0,11,1
1921,0,102,1
1921,0,57,1
1921,0,99,1
1921,0,13,1
1921,0,128,1
1921,0,84,1
1921,0,55,1
1921,0,29,1
1921,0,5,1
1921,0,39,1
1921,0,144,1
1921,0,57,1
1921,0,155,1
1921,0,4,1
1921,0,25,1
1921,0,51,1
1921,0,20,1
1921,0,4,1
1921,0,5,1
1921,0,13,1
1921,0,31,1
1921,0,7,1
1921,0,151,1
1921,0,18,1
1921,0,110,1
1921,0,75,1
1921,0,58,1
1921,0,113,1
1921,0,28,1
1921,0,64,1
1921,0,20,1
1921,0,114,1
1921,0,26,1
1921,0,30,1
1921,0,21,1
1921,0,129,1
1921,0,273,1
2401,0,107,1
2401,0,14,1
2401,0,32,1
2401,0,31,1
2401,0,28,1
2401,0,41,1
2401,0,15,1
2401,0,59,1
2401,0,93,1
2401,0,10,1
2401,0,122,1
2401,0,46,1
2401,0,33,1
2401,0,24,1
2401,0,12,1
2401,0,145,1
2401,0,91,1
2401,0,49,1
2401,0,42,1
2401,0,67,1
2401,0,198,1
2401,0,113,1
2401,0,11,1
2401,0,102,1
2401,0,57,1
2401,0,99,1
2401,0,13,1
2401,0,128,1
2401,0,84,1
2401,0,55,1
2401,0,29,1
2401,0,5,1
2401,0,39,1
2401,0,144,1
2401,0,57,1
2401,0,145,1
2401,0,4,1
2401,0,25,1
2401,0,51,1
2401,0,20,1
2401,0,4,1
2401,0,38,1
2401,0,31,1
2401,0,7,1
2401,0,151,1
2401,0,18,1
2401,0,110,1
2401,0,75,1
2401,0,58,1
2401,0,113,1
2401,0,18,1
2401,0,64,1
2401,0,20,1
2401,0,114,1
2401,0,26,1
2401,0,30,1
2401,0,21,1
2401,0,129,1
2401,0,273,1
1801,0,9,2
1801,0,145,2
1801,0,88,2
1801,0,55,2
1801,0,80,2
1801,0,43,2
1801,0,38,2
1801,0,4,2
1801,0,42,2
1801,0,5,2
1801,0,167,2
1801,0,5,2
1801,0,1,2
1801,0,24,2
1801,0,11,2
1801,0,212,2
1801,0,9,2
1801,0,163,2
1801,0,61,2
1801,0,79,2
1801,0,3,2
1801,0,15,2
1801,0,73,2
1801,0,67,2
1801,0,105,2
1801,0,57,2
1801,0,35,2
1801,0,41,2
1801,0,51,2
1801,0,14,2
1801,0,15,2
1801,0,72,2
1801,0,130,2
1801,0,353,2
1801,0,369,2
1801,0,18,2
1801,0,91,2
1801,0,27,2
1801,0,18,2
1801,0,62,2
1801,0,5,2
1801,0,171,2
1801,0,6,2
1801,0,60,2
1801,0,110,2
1801,0,20,2
1801,0,137,2
1801,0,264,2
1801,0,38,2
1801,0,166,2
1801,0,38,2
1801,0,40,2
1801,0,18,2
1861,0,9,2
1861,0,145,2
1861,0,88,2
1861,0,55,2
1861,0,80,2
1861,0,43,2
1861,0,38,2
1861,0,4,2
1861,0,42,2
1861,0,5,2
1861,0,167,2
1861,0,5,2
1861,0,1,2
1861,0,24,2
1861,0,11,2
1861,0,212,2
1861,0,9,2
1861,0,163,2
1861,0,61,2
1861,0,79,2
1861,0,3,2
1861,0,15,2
1861,0,73,2
1861,0,67,2
1861,0,105,2
1861,0,57,2
1861,0,35,2
1861,0,41,2
1861,0,51,2
1861,0,14,2
1861,0,15,2
1861,0,72,2
1861,0,130,2
1861,0,353,2
1861,0,369,2
1861,0,18,2
1861,0,91,2
1861,0,27,2
1861,0,18,2
1861,0,62,2
1861,0,5,2
1861,0,171,2
1861,0,6,2
1861,0,60,2
1861,0,110,2
1861,0,20,2
1861,0,137,2
1861,0,264,2
1861,0,38,2
1861,0,63,2
1861,0,83,2
1861,0,38,2
1861,0,40,2
1861,0,18,2
1921,0,9,2
1921,0,145,2
1921,0,88,2
1921,0,55,2
1921,0,80,2
1921,0,43,2
1921,0,38,2
1921,0,4,2
1921,0,42,2
1921,0,5,2
1921,0,167,2
1921,0,5,2
1921,0,1,2
1921,0,24,2
1921,0,11,2
1921,0,212,2
1921,0,9,2
1921,0,163,2
1921,0,61,2
1921,0,79,2
1921,0,3,2
1921,0,15,2
1921,0,73,2
1921,0,67,2
1921,0,105,2
1921,0,57,2
1921,0,35,2
1921,0,41,2
1921,0,51,2
1921,0,14,2
1921,0,15,2
1921,0,72,2
1921,0,130,2
1921,0,353,2
1921,0,369,2
1921,0,18,2
1921,0,91,2
1921,0,27,2
1921,0,18,2
1921,0,62,2
1921,0,5,2
1921,0,171,2
1921,0,6,2
1921,0,60,2
1921,0,110,2
1921,0,20,2
1921,0,137,2
1921,0,264,2
1921,0,38,2
1921,0,63,2
1921,0,83,2
1921,0,38,2
1921,0,40,2
1921,0,18,2
2401,0,9,2
2401,0,253,2
2401,0,55,2
2401,0,143,2
2401,0,38,2
2401,0,4,2
2401,0,42,2
2401,0,5,2
2401,0,167,2
2401,0,5,2
2401,0,1,2
2401,0,24,2
2401,0,11,2
2401,0,212,2
2401,0,9,2
2401,0,163,2
2401,0,61,2
2401,0,79,2
2401,0,3,2
2401,0,15,2
2401,0,73,2
2401,0,67,2
2401,0,95,2
2401,0,57,2
2401,0,35,2
2401,0,41,2
2401,0,51,2
2401,0,14,2
2401,0,15,2
2401,0,72,2
2401,0,130,2
2401,0,353,2
2401,0,369,2
2401,0,18,2
2401,0,81,2
2401,0,27,2
2401,0,18,2
2401,0,62,2
2401,0,5,2
2401,0,171,2
2401,0,6,2
2401,0,60,2
2401,0,110,2
2401,0,20,2
2401,0,137,2
2401,0,264,2
2401,0,38,2
2401,0,63,2
2401,0,83,2
2401,0,98,2
2401,0,18,2
1801,0,15,3
1801,0,164,3
1801,0,119,3
1801,0,19,3
1801,0,2,3
1801,0,61,3
1801,0,15,3
1801,0,10,3
1801,0,6,3
1801,0,111,3
1801,0,4,3
1801,0,52,3
1801,0,10,3
1801,0,17,3
1801,0,178,3
1801,0,17,3
1801,0,3,3
1801,0,55,3
1801,0,249,3
1801,0,67,3
1801,0,26,3
1801,0,63,3
1801,0,95,3
1801,0,15,3
1801,0,17,3
1801,0,88,3
1801,0,95,3
1801,0,566,3
1801,0,62,3
1801,0,41,3
1801,0,25,3
1801,0,18,3
1801,0,109,3
1801,0,5,3
1801,0,48,3
1801,0,145,3
1801,0,54,3
1801,0,99,3
1801,0,73,3
1801,0,46,3
1801,0,22,3
1801,0,208,3
1801,0,12,3
1801,0,178,3
1801,0,86,3
1801,0,61,3
1801,0,14,3
1801,0,85,3
1801,0,6,3
1801,0,50,3
1801,0,11,3
1801,0,17,3
1801,0,198,3
1801,0,8,3
1861,0,15,3
1861,0,154,3
1861,0,119,3
1861,0,19,3
1861,0,2,3
1861,0,61,3
1861,0,15,3
1861,0,10,3
1861,0,6,3
1861,0,111,3
1861,0,4,3
1861,0,52,3
1861,0,10,3
1861,0,17,3
1861,0,178,3
1861,0,17,3
1861,0,3,3
1861,0,55,3
1861,0,249,3
1861,0,67,3
1861,0,26,3
1861,0,63,3
1861,0,95,3
1861,0,5,3
1861,0,17,3
1861,0,88,3
1861,0,95,3
1861,0,566,3
1861,0,62,3
1861,0,41,3
1861,0,25,3
1861,0,18,3
1861,0,109,3
1861,0,5,3
1861,0,48,3
1861,0,145,3
1861,0,54,3
1861,0,99,3
1861,0,73,3
1861,0,46,3
1861,0,22,3
1861,0,208,3
1861,0,12,3
1861,0,178,3
1861,0,86,3
1861,0,61,3
1861,0,14,3
1861,0,85,3
1861,0,6,3
1861,0,50,3
1861,0,11,3
1861,0,17,3
1861,0,198,3
1861,0,8,3
1921,0,15,3
1921,0,154,3
1921,0,119,3
1921,0,19,3
1921,0,2,3
1921,0,61,3
1921,0,15,3
1921,0,10,3
1921,0,6,3
1921,0,111,3
1921,0,4,3
1921,0,52,3
1921,0,10,3
1921,0,17,3
1921,0,178,3
1921,0,17,3
1921,0,3,3
1921,0,55,3
1921,0,249,3
1921,0,67,3
1921,0,26,3
1921,0,63,3
1921,0,95,3
1921,0,5,3
1921,0,17,3
1921,0,88,3
1921,0,95,3
1921,0,566,3
1921,0,62,3
1921,0,41,3
1921,0,25,3
1921,0,18,3
1921,0,109,3
1921,0,5,3
1921,0,48,3
1921,0,145,3
1921,0,54,3
1921,0,99,3
1921,0,73,3
1921,0,46,3
1921,0,22,3
1921,0,208,3
1921,0,12,3
1921,0,178,3
1921,0,86,3
1921,0,61,3
1921,0,14,3
1921,0,85,3
1921,0,6,3
1921,0,50,3
1921,0,11,3
1921,0,17,3
1921,0,198,3
1921,0,8,3
2401,0,15,3
2401,0,154,3
2401,0,119,3
2401,0,19,3
2401,0,2,3
2401,0,61,3
2401,0,15,3
2401,0,10,3
2401,0,6,3
2401,0,111,3
2401,0,4,3
2401,0,42,3
2401,0,10,3
2401,0,17,3
2401,0,178,3
2401,0,7,3
2401,0,3,3
2401,0,55,3
2401,0,249,3
2401,0,67,3
2401,0,26,3
2401,0,63,3
2401,0,95,3
2401,0,5,3
2401,0,125,3
2401,0,95,3
2401,0,566,3
2401,0,62,3
2401,0,41,3
2401,0,25,3
2401,0,18,3
2401,0,109,3
2401,0,5,3
2401,0,48,3
2401,0,145,3
2401,0,54,3
2401,0,99,3
2401,0,73,3
2401,0,46,3
2401,0,250,3
2401,0,12,3
2401,0,178,3
2401,0,86,3
2401,0,61,3
2401,0,14,3
2401,0,85,3
2401,0,26,3
2401,0,50,3
2401,0,11,3
2401,0,17,3
2401,0,198,3
2401,0,8,3
1801,0,15,4
1801,0,16,4
1801,0,1,4
1801,0,49,4
1801,0,81,4
1801,0,149,4
1801,0,75,4
1801,0,15,4
1801,0,158,4
1801,0,20,4
1801,0,131,4
1801,0,11,4
1801,0,81,4
1801,0,1,4
1801,0,112,4
1801,0,1,4
1801,0,1,4
1801,0,93,4
1801,0,16,4
1801,0,76,4
1801,0,112,4
1801,0,184,4
1801,0,5,4
1801,0,27,4
1801,0,161,4
1801,0,36,4
1801,0,45,4
1801,0,52,4
1801,0,337,4
1801,0,2,4
1801,0,17,4
1801,0,5,4
1801,0,10,4
1801,0,67,4
1801,0,12,4
1801,0,27,4
1801,0,146,4
1801,0,18,4
1801,0,21,4
1801,0,92,4
1801,0,35,4
1801,0,115,4
1801,0,9,4
1801,0,69,4
1801,0,59,4
1801,0,86,4
1801,0,5,4
1801,0,87,4
1801,0,20,4
1801,0,9,4
1801,0,8,4
1801,0,3,4
1801,0,10,4
1801,0,78,4
1801,0,61,4
1801,0,2,4
1801,0,168,4
1801,0,82,4
1801,0,259,4
1801,0,2,4
1801,0,28,4
1801,0,7,4
1861,0,15,4
1861,0,16,4
1861,0,1,4
1861,0,49,4
1861,0,81,4
1861,0,149,4
1861,0,75,4
1861,0,15,4
1861,0,158,4
1861,0,20,4
1861,0,100,4
1861,0,11,4
1861,0,11,4
1861,0,81,4
1861,0,1,4
1861,0,112,4
1861,0,1,4
1861,0,1,4
1861,0,93,4
1861,0,16,4
1861,0,76,4
1861,0,112,4
1861,0,184,4
1861,0,5,4
1861,0,27,4
1861,0,161,4
1861,0,36,4
1861,0,45,4
1861,0,52,4
1861,0,337,4
1861,0,2,4
1861,0,17,4
1861,0,5,4
1861,0,10,4
1861,0,67,4
1861,0,12,4
1861,0,27,4
1861,0,146,4
1861,0,18,4
1861,0,21,4
1861,0,92,4
1861,0,35,4
1861,0,115,4
1861,0,9,4
1861,0,69,4
1861,0,59,4
1861,0,86,4
1861,0,5,4
1861,0,87,4
1861,0,20,4
1861,0,37,4
1861,0,3,4
1861,0,10,4
1861,0,78,4
1861,0,61,4
1861,0,2,4
1861,0,168,4
1861,0,82,4
1861,0,259,4
1861,0,2,4
1861,0,28,4
1861,0,7,4
1921,0,15,4
1921,0,16,4
1921,0,1,4
1921,0,49,4
1921,0,81,4
1921,0,149,4
1921,0,75,4
1921,0,15,4
1921,0,158,4
1921,0,20,4
1921,0,100,4
1921,0,11,4
1921,0,11,4
1921,0,81,4
1921,0,1,4
1921,0,112,4
1921,0,1,4
1921,0,1,4
1921,0,93,4
1921,0,16,4
1921,0,76,4
1921,0,112,4
1921,0,184,4
1921,0,5,4
1921,0,27,4
1921,0,161,4
1921,0,36,4
1921,0,45,4
1921,0,52,4
1921,0,337,4
1921,0,2,4
1921,0,17,4
1921,0,5,4
1921,0,10,4
1921,0,67,4
1921,0,12,4
1921,0,27,4
1921,0,146,4
1921,0,18,4
1921,0,21,4
1921,0,92,4
1921,0,35,4
1921,0,115,4
1921,0,9,4
1921,0,69,4
1921,0,59,4
1921,0,86,4
1921,0,5,4
1921,0,87,4
1921,0,20,4
1921,0,37,4
1921,0,3,4
1921,0,10,4
1921,0,78,4
1921,0,61,4
1921,0,2,4
1921,0,168,4
1921,0,82,4
1921,0,259,4
1921,0,2,4
1921,0,28,4
1921,0,7,4
2401,0,15,4
2401,0,16,4
2401,0,1,4
2401,0,49,4
2401,0,81,4
2401,0,139,4
2401,0,75,4
2401,0,15,4
2401,0,158,4
2401,0,20,4
2401,0,100,4
2401,0,11,4
2401,0,11,4
2401,0,81,4
2401,0,1,4
2401,0,112,4
2401,0,1,4
2401,0,1,4
2401,0,93,4
2401,0,16,4
2401,0,76,4
2401,0,112,4
2401,0,184,4
2401,0,5,4
2401,0,208,4
2401,0,36,4
2401,0,45,4
2401,0,52,4
2401,0,337,4
2401,0,2,4
2401,0,17,4
2401,0,5,4
2401,0,10,4
2401,0,67,4
2401,0,12,4
2401,0,27,4
2401,0,146,4
2401,0,18,4
2401,0,11,4
2401,0,92,4
2401,0,35,4
2401,0,115,4
2401,0,9,4
2401,0,69,4
2401,0,59,4
2401,0,86,4
2401,0,5,4
2401,0,127,4
2401,0,37,4
2401,0,3,4
2401,0,108,4
2401,0,61,4
2401,0,2,4
2401,0,168,4
2401,0,82,4
2401,0,259,4
2401,0,2,4
2401,0,28,4
2401,0,7,4
1801,0,36,5
1801,0,17,5
1801,0,58,5
1801,0,55,5
1801,0,6,5
1801,0,98,5
1801,0,16,5
1801,0,18,5
1801,0,5,5
1801,0,39,5
1801,0,74,5
1801,0,4,5
1801,0,4,5
1801,0,71,5
1801,0,25,5
1801,0,129,5
1801,0,46,5
1801,0,7,5
1801,0,46,5
1801,0,12,5
1801,0,15,5
1801,0,7,5
1801,0,12,5
1801,0,209,5
1801,0,13,5
1801,0,12,5
1801,0,91,5
1801,0,89,5
1801,0,54,5
1801,0,37,5
1801,0,77,5
1801,0,52,5
1801,0,91,5
1801,0,61,5
1801,0,26,5
1801,0,308,5
1801,0,7,5
1801,0,3,5
1801,0,210,5
1801,0,43,5
1801,0,99,5
1801,0,17,5
1801,0,10,5
1801,0,95,5
1801,0,211,5
1801,0,103,5
1801,0,6,5
1801,0,26,5
1801,0,10,5
1801,0,35,5
1801,0,113,5
1801,0,12,5
1801,0,11,5
1801,0,123,5
1801,0,17,5
1801,0,8,5
1801,0,65,5
1801,0,130,5
1801,0,13,5
1801,0,218,5
1801,0,46,5
1801,0,25,5
1801,0,43,5
1801,0,24,5
