time,fold,size,id
1801,0,68,1
1801,0,164,1
1801,0,219,1
1801,0,234,1
1801,0,5,1
1861,0,68,1
1861,0,164,1
1861,0,219,1
1861,0,234,1
1861,0,5,1
1921,0,68,1
1921,0,164,1
1921,0,219,1
1921,0,259,1
2401,0,68,1
2401,0,164,1
2401,0,219,1
2401,0,259,1
1801,0,57,2
1801,0,41,2
1801,0,54,2
1801,0,18,2
1801,0,8,2
1801,0,41,2
1801,0,42,2
1801,0,82,2
1801,0,97,2
1801,0,8,2
1801,0,102,2
1861,0,57,2
1861,0,41,2
1861,0,54,2
1861,0,18,2
1861,0,8,2
1861,0,41,2
1861,0,42,2
1861,0,82,2
1861,0,97,2
1861,0,8,2
1861,0,102,2
1921,0,57,2
1921,0,41,2
1921,0,54,2
1921,0,18,2
1921,0,8,2
1921,0,41,2
1921,0,42,2
1921,0,82,2
1921,0,97,2
1921,0,8,2
1921,0,102,2
2401,0,57,2
2401,0,41,2
2401,0,44,2
2401,0,18,2
2401,0,69,2
2401,0,42,2
2401,0,82,2
2401,0,87,2
2401,0,8,2
2401,0,102,2
1801,0,11,3
1801,0,56,3
1801,0,144,3
1801,0,105,3
1801,0,374,3
1861,0,11,3
1861,0,56,3
1861,0,144,3
1861,0,105,3
1861,0,374,3
1921,0,11,3
1921,0,56,3
1921,0,144,3
1921,0,105,3
1921,0,364,3
2401,0,11,3
2401,0,56,3
2401,0,144,3
2401,0,105,3
2401,0,364,3
1801,0,36,4
1801,0,6,4
1801,0,76,4
1801,0,46,4
1801,0,70,4
1801,0,84,4
1801,0,211,4
1801,0,91,4
1861,0,36,4
1861,0,6,4
1861,0,76,4
1861,0,46,4
1861,0,70,4
1861,0,84,4
1861,0,211,4
1861,0,91,4
1921,0,36,4
1921,0,6,4
1921,0,76,4
1921,0,46,4
1921,0,25,4
1921,0,25,4
1921,0,84,4
1921,0,211,4
1921,0,91,4
2401,0,36,4
2401,0,6,4
2401,0,66,4
2401,0,46,4
2401,0,174,4
2401,0,211,4
2401,0,91,4
1801,0,6,5
1801,0,8,5
1801,0,7,5
1801,0,49,5
1801,0,116,5
1801,0,28,5
1801,0,78,5
1801,0,61,5
1801,0,237,5
1861,0,6,5
1861,0,8,5
1861,0,7,5
1861,0,49,5
1861,0,116,5
1861,0,28,5
1861,0,78,5
1861,0,61,5
1861,0,237,5
1921,0,6,5
1921,0,8,5
1921,0,7,5
1921,0,49,5
1921,0,116,5
1921,0,28,5
1921,0,78,5
1921,0,61,5
1921,0,237,5
2401,0,6,5
2401,0,8,5
2401,0,7,5
2401,0,49,5
2401,0,116,5
2401,0,28,5
2401,0,78,5
2401,0,61,5
2401,0,227,5
1801,0,8,6
1801,0,55,6
1801,0,17,6
1801,0,220,6
1801,0,40,6
1801,0,6,6
1801,0,87,6
1801,0,57,6
1801,0,79,6
1801,0,31,6
1861,0,8,6
1861,0,55,6
1861,0,17,6
1861,0,220,6
1861,0,40,6
1861,0,6,6
1861,0,87,6
1861,0,57,6
1861,0,79,6
1861,0,31,6
1921,0,8,6
1921,0,55,6
1921,0,17,6
1921,0,220,6
1921,0,40,6
1921,0,113,6
1921,0,57,6
1921,0,79,6
1921,0,31,6
2401,0,8,6
2401,0,55,6
2401,0,7,6
2401,0,280,6
2401,0,113,6
2401,0,156,6
2401,0,21,6
1801,0,439,7
1801,0,14,7
1801,0,7,7
1801,0,72,7
1801,0,19,7
1801,0,21,7
1801,0,58,7
1861,0,439,7
1861,0,14,7
1861,0,7,7
1861,0,72,7
1861,0,19,7
1861,0,21,7
1861,0,58,7
1921,0,390,7
1921,0,29,7
1921,0,14,7
1921,0,99,7
1921,0,19,7
1921,0,21,7
1921,0,58,7
2401,0,439,7
2401,0,14,7
2401,0,89,7
2401,0,19,7
2401,0,21,7
2401,0,58,7
1801,0,14,8
1801,0,98,8
1801,0,19,8
1801,0,41,8
1801,0,11,8
1801,0,114,8
1801,0,6,8
1801,0,27,8
1801,0,210,8
1801,0,20,8
1861,0,14,8
1861,0,98,8
1861,0,19,8
1861,0,41,8
1861,0,11,8
1861,0,114,8
1861,0,6,8
1861,0,27,8
1861,0,210,8
1861,0,20,8
1921,0,14,8
1921,0,76,8
1921,0,2,8
1921,0,19,8
1921,0,41,8
1921,0,11,8
1921,0,114,8
1921,0,6,8
1921,0,27,8
1921,0,250,8
2401,0,14,8
2401,0,76,8
2401,0,2,8
2401,0,19,8
2401,0,41,8
2401,0,11,8
2401,0,114,8
2401,0,6,8
2401,0,297,8
1801,0,75,9
1801,0,134,9
1801,0,295,9
1801,0,19,9
1801,0,13,9
1801,0,124,9
1861,0,75,9
1861,0,124,9
1861,0,295,9
1861,0,19,9
1861,0,13,9
1861,0,124,9
1921,0,75,9
1921,0,124,9
1921,0,295,9
1921,0,19,9
1921,0,13,9
1921,0,124,9
2401,0,75,9
2401,0,134,9
2401,0,295,9
2401,0,19,9
2401,0,13,9
2401,0,124,9
1801,0,10,10
1801,0,145,10
1801,0,81,10
1801,0,72,10
1801,0,35,10
1801,0,21,10
1801,0,14,10
1801,0,34,10
1801,0,81,10
1801,0,67,10
1861,0,10,10
1861,0,145,10
1861,0,40,10
1861,0,21,10
1861,0,72,10
1861,0,35,10
1861,0,21,10
1861,0,14,10
1861,0,34,10
1861,0,81,10
1861,0,67,10
1921,0,10,10
1921,0,145,10
1921,0,40,10
1921,0,21,10
1921,0,72,10
1921,0,35,10
1921,0,21,10
1921,0,14,10
1921,0,34,10
1921,0,81,10
1921,0,67,10
2401,0,10,10
2401,0,145,10
2401,0,173,10
2401,0,35,10
2401,0,21,10
2401,0,4,10
2401,0,24,10
2401,0,81,10
2401,0,67,10
1801,1,109,11
1801,1,4,11
1801,1,166,11
1801,1,23,11
1801,1,2,11
1801,1,58,11
1801,1,37,11
1801,1,195,11
1801,1,6,11
1861,1,109,11
1861,1,4,11
1861,1,166,11
1861,1,23,11
1861,1,2,11
1861,1,58,11
1861,1,37,11
1861,1,42,11
1861,1,123,11
1861,1,6,11
1921,1,109,11
1921,1,4,11
1921,1,166,11
1921,1,23,11
1921,1,2,11
1921,1,115,11
1921,1,42,11
1921,1,123,11
1921,1,6,11
2401,1,76,11
2401,1,13,11
2401,1,4,11
2401,1,128,11
2401,1,18,11
2401,1,23,11
2401,1,2,11
2401,1,115,11
2401,1,42,11
2401,1,123,11
2401,1,6,11
1801,1,9,12
1801,1,191,12
1801,1,297,12
1801,1,107,12
1801,1,65,12
1801,1,1,12
1861,1,9,12
1861,1,191,12
1861,1,297,12
1861,1,107,12
1861,1,65,12
1861,1,1,12
1921,1,9,12
1921,1,191,12
1921,1,297,12
1921,1,107,12
1921,1,65,12
1921,1,1,12
2401,1,9,12
2401,1,5,12
2401,1,156,12
2401,1,297,12
2401,1,62,12
2401,1,25,12
2401,1,65,12
2401,1,1,12
1801,1,35,13
1801,1,366,13
1801,1,46,13
1801,1,273,13
1861,1,35,13
1861,1,366,13
1861,1,46,13
1861,1,273,13
