fraction_exposure,fold,id
0.992,0,1
0.996,0,2
0.996,0,3
0.992,0,4
0.996,0,5
0.996,0,6
0.996,0,7
0.996,0,8
1.0,0,9
1.0,0,10
1.0,0,11
1.0,0,12
0.992,0,13
1.0,0,14
1.0,0,15
1.0,0,16
1.0,0,17
0.996,0,18
0.996,0,19
1.0,0,20
1.0,0,21
1.0,0,22
0.992,0,23
1.0,0,24
0.996,0,25
1.0,0,26
0.996,0,27
1.0,0,28
0.992,0,29
1.0,0,30
0.996,0,31
0.992,0,32
0.992,0,33
1.0,0,34
1.0,0,35
0.996,0,36
1.0,0,37
0.996,0,38
1.0,0,39
0.996,0,40
1.0,0,41
0.992,0,42
0.996,0,43
1.0,0,44
0.992,0,45
0.984,0,46
0.996,0,47
1.0,0,48
0.992,0,49
0.992,0,50
1.0,0,51
1.0,0,52
0.996,0,53
0.992,0,54
0.996,0,55
0.992,0,56
1.0,0,57
1.0,0,58
0.992,0,59
1.0,0,60
1.0,0,61
0.996,0,62
1.0,0,63
1.0,0,64
1.0,0,65
0.996,0,66
1.0,0,67
0.996,0,68
1.0,0,69
1.0,0,70
0.996,0,71
0.992,0,72
1.0,0,73
0.992,0,74
1.0,0,75
1.0,0,76
0.996,0,77
0.988,0,78
0.992,0,79
0.996,0,80
1.0,0,81
1.0,0,82
0.992,0,83
1.0,0,84
1.0,0,85
0.992,0,86
0.996,0,87
0.992,0,88
0.996,0,89
0.988,0,90
0.996,0,91
1.0,0,92
1.0,0,93
0.996,0,94
1.0,0,95
1.0,0,96
0.996,0,97
1.0,0,98
0.992,0,99
1.0,0,100
1.0,1,101
0.976,1,102
0.98,1,103
0.972,1,104
0.992,1,105
0.974,1,106
0.992,1,107
0.984,1,108
0.968,1,109
0.98,1,110
0.984,1,111
0.992,1,112
0.98,1,113
0.984,1,114
0.976,1,115
0.965,1,116
0.948,1,117
0.9742,1,118
0.996,1,119
0.996,1,120
0.988,1,121
0.9466,1,122
0.98,1,123
0.972,1,124
0.984,1,125
0.992,1,126
0.968,1,127
0.98,1,128
0.988,1,129
0.9714,1,130
0.964,1,131
0.984,1,132
0.984,1,133
0.98,1,134
0.984,1,135
0.992,1,136
0.992,1,137
0.984,1,138
0.976,1,139
0.964,1,140
0.984,1,141
0.992,1,142
0.972,1,143
0.968,1,144
0.988,1,145
0.972,1,146
0.972,1,147
0.992,1,148
0.972,1,149
0.9876,1,150
0.984,1,151
0.98,1,152
0.972,1,153
0.98,1,154
0.9754,1,155
0.9468,1,156
0.984,1,157
0.988,1,158
0.988,1,159
0.988,1,160
0.9684,1,161
0.992,1,162
0.984,1,163
0.98,1,164
0.976,1,165
0.98,1,166
0.988,1,167
0.968,1,168
0.964,1,169
0.976,1,170
0.988,1,171
0.972,1,172
0.984,1,173
0.98,1,174
0.984,1,175
0.984,1,176
0.976,1,177
0.972,1,178
1.0,1,179
0.992,1,180
0.972,1,181
0.98,1,182
0.988,1,183
0.988,1,184
0.98,1,185
0.976,1,186
0.988,1,187
0.9688,1,188
0.996,1,189
0.98,1,190
0.98,1,191
0.98,1,192
0.977,1,193
0.98,1,194
0.98,1,195
0.968,1,196
0.988,1,197
0.984,1,198
0.992,1,199
0.988,1,200
0.9038,4,201
0.936,4,202
0.944,4,203
0.94,4,204
0.9344,4,205
0.9314,4,206
0.9136,4,207
0.8828,4,208
0.928,4,209
0.9418,4,210
0.956,4,211
0.9112,4,212
0.9542,4,213
0.924,4,214
0.9136,4,215
0.944,4,216
0.9492,4,217
0.9132,4,218
0.934,4,219
0.9246,4,220
0.9132,4,221
0.948,4,222
0.96,4,223
0.9352,4,224
0.928,4,225
0.9052,4,226
0.944,4,227
0.9396,4,228
0.96,4,229
0.9226,4,230
0.94,4,231
0.9548,4,232
0.936,4,233
0.952,4,234
0.9422,4,235
0.9282,4,236
0.92,4,237
0.9456,4,238
0.9196,4,239
0.92,4,240
0.952,4,241
0.956,4,242
0.932,4,243
0.912,4,244
0.9246,4,245
0.961,4,246
0.946,4,247
0.9446,4,248
0.936,4,249
0.9228,4,250
0.9344,4,251
0.943,4,252
0.9308,4,253
0.9208,4,254
0.944,4,255
0.936,4,256
0.928,4,257
0.9568,4,258
0.956,4,259
0.952,4,260
0.944,4,261
0.968,4,262
0.956,4,263
0.952,4,264
0.8964,4,265
0.9168,4,266
0.96,4,267
0.9268,4,268
0.9302,4,269
0.9508,4,270
0.9426,4,271
0.9324,4,272
0.9234,4,273
0.9442,4,274
0.9276,4,275
0.952,4,276
0.94,4,277
0.932,4,278
0.924,4,279
0.944,4,280
0.964,4,281
0.9492,4,282
0.9328,4,283
0.9286,4,284
0.948,4,285
0.913,4,286
0.948,4,287
0.9398,4,288
0.932,4,289
0.9462,4,290
0.94,4,291
0.9352,4,292
0.9184,4,293
0.94,4,294
0.9344,4,295
0.936,4,296
0.952,4,297
0.932,4,298
0.9106,4,299
0.9568,4,300
0.8698,10,301
0.8716,10,302
0.8684,10,303
0.8454,10,304
0.8822,10,305
0.854,10,306
0.8354,10,307
0.871,10,308
0.8718,10,309
0.8832,10,310
0.8928,10,311
0.8718,10,312
0.8936,10,313
0.8598,10,314
0.8678,10,315
0.7924,10,316
0.8738,10,317
0.8796,10,318
0.8402,10,319
0.8902,10,320
0.882,10,321
0.873,10,322
0.8348,10,323
0.8466,10,324
0.8736,10,325
0.8428,10,326
0.8454,10,327
0.8388,10,328
0.837,10,329
0.8378,10,330
0.878,10,331
0.8384,10,332
0.8732,10,333
0.8488,10,334
0.8746,10,335
0.8626,10,336
0.871,10,337
0.8432,10,338
0.8508,10,339
0.8436,10,340
0.8664,10,341
0.8176,10,342
0.8444,10,343
0.85,10,344
0.9016,10,345
0.8216,10,346
0.8324,10,347
0.8754,10,348
0.8912,10,349
0.8602,10,350
0.877,10,351
0.856,10,352
0.866,10,353
0.8264,10,354
0.8396,10,355
0.8828,10,356
0.869,10,357
0.907,10,358
0.8402,10,359
0.8542,10,360
0.8484,10,361
0.861,10,362
0.8758,10,363
0.8594,10,364
0.8904,10,365
0.8804,10,366
0.9098,10,367
0.8058,10,368
0.8368,10,369
0.8626,10,370
0.8732,10,371
0.8716,10,372
0.866,10,373
0.8584,10,374
0.8802,10,375
0.8442,10,376
0.853,10,377
0.8538,10,378
0.8256,10,379
0.8612,10,380
0.8734,10,381
0.895,10,382
0.8658,10,383
0.826,10,384
0.884,10,385
0.893,10,386
0.8784,10,387
0.823,10,388
0.8896,10,389
0.876,10,390
0.8622,10,391
0.867,10,392
0.8544,10,393
0.86,10,394
0.863,10,395
0.8698,10,396
0.8946,10,397
0.8362,10,398
0.8598,10,399
0.8702,10,400
0.7662,25,401
0.7494,25,402
0.7046,25,403
0.6984,25,404
0.7112,25,405
0.7422,25,406
0.7208,25,407
0.7374,25,408
0.7248,25,409
0.7364,25,410
0.7112,25,411
0.7014,25,412
0.7216,25,413
0.6912,25,414
0.7008,25,415
0.7338,25,416
0.6524,25,417
0.7622,25,418
0.7096,25,419
0.7346,25,420
