fraction_exposure,fold,id
0.813,0,1
0.8306,0,2
0.8284,0,3
0.8242,0,4
0.7632,0,5
0.8258,0,6
0.8082,0,7
0.8686,0,8
0.815,0,9
0.8388,0,10
0.8372,0,11
0.8292,0,12
0.8272,0,13
0.8302,0,14
0.8528,0,15
0.8336,0,16
0.795,0,17
0.8002,0,18
0.8172,0,19
0.8192,0,20
0.8614,0,21
0.8288,0,22
0.7942,0,23
0.8368,0,24
0.7658,0,25
0.8148,0,26
0.8182,0,27
0.862,0,28
0.8522,0,29
0.7758,0,30
0.8644,0,31
0.8168,0,32
0.8454,0,33
0.8656,0,34
0.8228,0,35
0.8406,0,36
0.852,0,37
0.821,0,38
0.789,0,39
0.8654,0,40
0.8178,0,41
0.8466,0,42
0.8192,0,43
0.8378,0,44
0.807,0,45
0.8232,0,46
0.8184,0,47
0.827,0,48
0.8462,0,49
0.8482,0,50
0.8526,0,51
0.8048,0,52
0.842,0,53
0.8462,0,54
0.8206,0,55
0.868,0,56
0.8082,0,57
0.87,0,58
0.8054,0,59
0.8594,0,60
0.844,0,61
0.796,0,62
0.854,0,63
0.863,0,64
0.811,0,65
0.8502,0,66
0.824,0,67
0.808,0,68
0.809,0,69
0.8242,0,70
0.8614,0,71
0.868,0,72
0.8182,0,73
0.8252,0,74
0.8032,0,75
0.8576,0,76
0.8504,0,77
0.8532,0,78
0.7568,0,79
0.8598,0,80
0.8754,0,81
0.8158,0,82
0.8086,0,83
0.7964,0,84
0.8314,0,85
0.8616,0,86
0.7932,0,87
0.8546,0,88
0.812,0,89
0.817,0,90
0.8772,0,91
0.8918,0,92
0.8612,0,93
0.8642,0,94
0.908,0,95
0.807,0,96
0.807,0,97
0.822,0,98
0.807,0,99
0.862,0,100
0.7618,1,101
0.8272,1,102
0.8166,1,103
0.819,1,104
0.7948,1,105
0.797,1,106
0.8174,1,107
0.8002,1,108
0.7428,1,109
0.784,1,110
0.7924,1,111
0.7546,1,112
0.746,1,113
0.7808,1,114
0.8064,1,115
0.7524,1,116
0.7208,1,117
0.7478,1,118
0.7702,1,119
0.7432,1,120
0.8026,1,121
0.7374,1,122
0.8252,1,123
0.8026,1,124
0.757,1,125
0.7542,1,126
0.8456,1,127
0.7678,1,128
0.846,1,129
0.7824,1,130
0.8008,1,131
0.7472,1,132
0.8486,1,133
0.745,1,134
0.7952,1,135
0.7608,1,136
0.7876,1,137
0.7846,1,138
0.7908,1,139
0.7764,1,140
0.8376,1,141
0.7734,1,142
0.8116,1,143
0.7588,1,144
0.8214,1,145
0.8034,1,146
0.8008,1,147
0.793,1,148
0.7716,1,149
0.8286,1,150
0.7802,1,151
0.8028,1,152
0.805,1,153
0.77,1,154
0.7482,1,155
0.794,1,156
0.7664,1,157
0.823,1,158
0.7788,1,159
0.728,1,160
0.789,1,161
0.7378,1,162
0.7682,1,163
0.841,1,164
0.762,1,165
0.7764,1,166
0.765,1,167
0.7812,1,168
0.7534,1,169
0.7922,1,170
0.78,1,171
0.8206,1,172
0.7574,1,173
0.7864,1,174
0.8188,1,175
0.7844,1,176
0.7976,1,177
0.8006,1,178
0.8318,1,179
0.816,1,180
0.733,1,181
0.801,1,182
0.8756,1,183
0.7348,1,184
0.7676,1,185
0.8068,1,186
0.8256,1,187
0.7474,1,188
0.8002,1,189
0.7808,1,190
0.8136,1,191
0.7774,1,192
0.785,1,193
0.773,1,194
0.8132,1,195
0.7522,1,196
0.7954,1,197
0.7552,1,198
0.7778,1,199
0.7838,1,200
0.6232,4,201
0.6936,4,202
0.6738,4,203
0.6572,4,204
0.6882,4,205
0.7186,4,206
0.6716,4,207
0.7342,4,208
0.6704,4,209
0.5892,4,210
0.6796,4,211
0.727,4,212
0.6468,4,213
0.6638,4,214
0.6704,4,215
0.6634,4,216
0.693,4,217
0.6752,4,218
0.631,4,219
0.687,4,220
0.6306,4,221
0.6954,4,222
0.6368,4,223
0.6694,4,224
0.6306,4,225
0.7296,4,226
0.6426,4,227
0.6796,4,228
0.7106,4,229
0.6458,4,230
0.7046,4,231
0.6464,4,232
0.5936,4,233
0.665,4,234
0.6744,4,235
0.6924,4,236
0.6568,4,237
0.6132,4,238
0.6756,4,239
0.6402,4,240
0.6494,4,241
0.636,4,242
0.7224,4,243
0.68,4,244
0.597,4,245
0.692,4,246
0.7206,4,247
0.7062,4,248
0.6688,4,249
0.6782,4,250
0.658,4,251
0.6872,4,252
0.6466,4,253
0.6706,4,254
0.6766,4,255
0.709,4,256
0.6238,4,257
0.6392,4,258
0.6926,4,259
0.6936,4,260
0.7198,4,261
0.66,4,262
0.6182,4,263
0.6502,4,264
0.6192,4,265
0.6256,4,266
0.64,4,267
0.628,4,268
0.6284,4,269
0.6708,4,270
0.6448,4,271
0.6762,4,272
0.6788,4,273
0.6506,4,274
0.6352,4,275
0.6734,4,276
0.6888,4,277
0.655,4,278
0.6788,4,279
0.6546,4,280
0.6542,4,281
0.6658,4,282
0.6542,4,283
0.652,4,284
0.6784,4,285
0.6692,4,286
0.6644,4,287
0.655,4,288
0.6962,4,289
0.6836,4,290
0.648,4,291
0.6778,4,292
