fraction_exposure,fold,id
0.5642,0,1
0.6698,0,2
0.6104,0,3
0.6092,0,4
0.6028,0,5
0.5982,1,6
0.5626,1,7
0.5648,1,8
0.5538,1,9
0.5858,1,10
0.4424,4,11
0.4626,4,12
0.4702,4,13
0.4458,4,14
0.4778,4,15
0.2458,10,16
0.2372,10,17
0.2306,10,18
0.255,10,19
0.2532,10,20
0.1018,25,21
0.112,25,22
0.1278,25,23
0.1052,25,24
0.126,25,25
0.0504,50,26
0.0636,50,27
0.0612,50,28
0.0734,50,29
0.0768,50,30
0.6598,0,31
0.6584,0,32
0.6642,0,33
0.5902,0,34
0.6204,0,35
0.5356,1,36
0.5972,1,37
0.6024,1,38
0.5742,1,39
0.5722,1,40
0.4838,4,41
0.445,4,42
0.4286,4,43
0.4592,4,44
0.3654,4,45
0.2294,10,46
0.2174,10,47
0.249,10,48
0.2668,10,49
0.2354,10,50
0.1228,25,51
0.1144,25,52
0.156,25,53
0.127,25,54
0.1118,25,55
0.0626,50,56
0.0962,50,57
0.0748,50,58
0.0446,50,59
0.0694,50,60
0.6308,0,61
0.6678,0,62
0.7008,0,63
0.6582,0,64
0.6952,0,65
0.5542,1,66
0.6064,1,67
0.6138,1,68
0.5462,1,69
0.5578,1,70
0.4436,4,71
0.3834,4,72
0.4188,4,73
0.4682,4,74
0.437,4,75
0.24,10,76
0.3274,10,77
0.308,10,78
0.2996,10,79
0.228,10,80
0.0806,25,81
0.089,25,82
0.1208,25,83
0.1296,25,84
0.112,25,85
0.0824,50,86
0.0816,50,87
0.081,50,88
0.066,50,89
0.0602,50,90
0.6568,0,91
0.6522,0,92
0.6786,0,93
0.5866,0,94
0.675,0,95
0.5396,1,96
0.5722,1,97
0.5922,1,98
0.577,1,99
0.5526,1,100
0.4142,4,101
0.428,4,102
0.4044,4,103
0.4556,4,104
0.446,4,105
0.2984,10,106
0.27,10,107
0.2606,10,108
0.2474,10,109
0.2828,10,110
0.0988,25,111
0.0886,25,112
0.1078,25,113
0.1764,25,114
0.1256,25,115
0.028,50,116
0.0564,50,117
0.0752,50,118
0.0794,50,119
0.053,50,120
0.6818,0,121
0.6242,0,122
0.6674,0,123
0.6736,0,124
0.607,0,125
0.577,1,126
0.513,1,127
0.6262,1,128
0.6068,1,129
0.6294,1,130
0.4482,4,131
0.4368,4,132
0.4388,4,133
0.4034,4,134
0.4666,4,135
0.277,10,136
0.2838,10,137
0.3204,10,138
0.269,10,139
0.2746,10,140
0.1078,25,141
0.137,25,142
0.1214,25,143
0.1046,25,144
0.1682,25,145
0.0824,50,146
0.063,50,147
0.051,50,148
0.086,50,149
0.0694,50,150
0.621,0,151
0.614,0,152
0.6524,0,153
0.6734,0,154
0.678,0,155
0.5782,1,156
0.5612,1,157
0.5938,1,158
0.5688,1,159
0.5308,1,160
0.4856,4,161
0.453,4,162
0.4378,4,163
0.3984,4,164
0.4226,4,165
0.273,10,166
0.282,10,167
0.3104,10,168
0.28,10,169
0.2934,10,170
0.102,25,171
0.1366,25,172
0.1204,25,173
0.1146,25,174
0.1296,25,175
0.0824,50,176
0.0714,50,177
0.0656,50,178
0.0722,50,179
0.0914,50,180
0.5978,0,181
0.6732,0,182
0.6636,0,183
0.6876,0,184
0.6396,0,185
0.6024,1,186
0.5832,1,187
0.5762,1,188
0.6496,1,189
0.549,1,190
0.4444,4,191
0.4022,4,192
0.4178,4,193
0.3854,4,194
0.5358,4,195
0.315,10,196
0.2716,10,197
0.2876,10,198
0.2626,10,199
0.3166,10,200
0.1526,25,201
0.1318,25,202
0.1088,25,203
0.1022,25,204
0.156,25,205
0.0696,50,206
0.0552,50,207
0.0542,50,208
0.0764,50,209
0.089,50,210
0.5528,0,211
0.6736,0,212
0.6124,0,213
0.6034,0,214
0.672,0,215
0.5304,1,216
0.6342,1,217
0.5826,1,218
0.5858,1,219
0.6608,1,220
0.4704,4,221
0.484,4,222
0.5032,4,223
0.4154,4,224
0.5212,4,225
0.2846,10,226
0.2494,10,227
0.2846,10,228
0.2666,10,229
0.2594,10,230
0.1124,25,231
0.1346,25,232
0.137,25,233
0.1046,25,234
0.1524,25,235
0.0862,50,236
0.0788,50,237
0.0548,50,238
0.0578,50,239
0.0698,50,240
0.6558,0,241
0.6346,0,242
0.707,0,243
0.5938,0,244
0.6462,0,245
0.623,1,246
0.5812,1,247
0.6174,1,248
0.5646,1,249
0.5552,1,250
0.421,4,251
0.4438,4,252
0.4712,4,253
0.3666,4,254
0.497,4,255
0.324,10,256
0.213,10,257
0.266,10,258
0.2786,10,259
0.2544,10,260
0.1074,25,261
0.1002,25,262
0.1412,25,263
0.13,25,264
0.1676,25,265
0.0658,50,266
0.0944,50,267
0.0776,50,268
0.103,50,269
0.0742,50,270
0.6278,0,271
0.671,0,272
0.5994,0,273
0.66,0,274
0.6572,0,275
0.6098,1,276
0.6518,1,277
0.608,1,278
0.5792,1,279
0.5748,1,280
0.4246,4,281
0.4154,4,282
0.3922,4,283
0.4638,4,284
0.4336,4,285
0.237,10,286
0.2032,10,287
0.2766,10,288
0.2526,10,289
0.2898,10,290
0.0932,25,291
0.106,25,292
0.1206,25,293
0.1384,25,294
0.1162,25,295
0.0744,50,296
0.075,50,297
0.0514,50,298
0.0578,50,299
0.0668,50,300
0.7238,0,301
0.668,0,302
0.6738,0,303
0.6498,0,304
0.7032,0,305
0.5578,1,306
0.63,1,307
0.5758,1,308
0.557,1,309
0.5612,1,310
0.3728,4,311
0.4296,4,312
0.4734,4,313
0.4266,4,314
0.4446,4,315
0.2714,10,316
0.3074,10,317
0.2786,10,318
0.2488,10,319
0.2374,10,320
0.1654,25,321
0.1166,25,322
0.1072,25,323
0.1218,25,324
0.137,25,325
0.0524,50,326
0.065,50,327
0.0376,50,328
0.0794,50,329
0.078,50,330
0.6126,0,331
0.5976,0,332
0.6774,0,333
0.5978,0,334
0.6758,0,335
0.6098,1,336
0.5758,1,337
0.581,1,338
0.576,1,339
0.4838,1,340
0.4314,4,341
0.4476,4,342
0.3952,4,343
0.4332,4,344
0.4752,4,345
0.2474,10,346
0.2954,10,347
0.272,10,348
0.199,10,349
0.283,10,350
0.1268,25,351
0.1154,25,352
0.1028,25,353
0.0826,25,354
0.1078,25,355
0.054,50,356
0.0412,50,357
0.0458,50,358
0.0936,50,359
0.0866,50,360
0.612,0,361
0.6066,0,362
0.6336,0,363
0.6006,0,364
0.6248,0,365
0.6286,1,366
0.5554,1,367
0.5798,1,368
0.5956,1,369
0.5808,1,370
0.3982,4,371
0.441,4,372
0.375,4,373
0.4408,4,374
0.4482,4,375
0.2272,10,376
0.229,10,377
0.2378,10,378
0.2614,10,379
0.2856,10,380
0.1408,25,381
0.0964,25,382
0.1048,25,383
0.0798,25,384
0.1474,25,385
0.081,50,386
0.0714,50,387
0.044,50,388
0.0528,50,389
0.039,50,390
0.678,0,391
0.6448,0,392
0.6024,0,393
0.6286,0,394
0.6514,0,395
0.525,1,396
0.5712,1,397
0.5738,1,398
0.5776,1,399
0.5666,1,400
0.4198,4,401
0.372,4,402
0.4044,4,403
0.3902,4,404
0.4788,4,405
0.2824,10,406
0.2644,10,407
0.301,10,408
0.249,10,409
0.2942,10,410
0.1362,25,411
0.107,25,412
0.1254,25,413
0.1288,25,414
0.134,25,415
0.0796,50,416
0.0508,50,417
0.0374,50,418
0.0704,50,419
0.0492,50,420
0.6784,0,421
0.6034,0,422
0.6728,0,423
0.6086,0,424
0.6956,0,425
0.571,1,426
0.6082,1,427
0.5792,1,428
0.566,1,429
0.5906,1,430
0.4098,4,431
0.423,4,432
0.4,4,433
0.4096,4,434
0.4204,4,435
0.2486,10,436
0.256,10,437
0.2438,10,438
0.251,10,439
0.256,10,440
0.1074,25,441
0.1264,25,442
0.0954,25,443
0.1052,25,444
0.1324,25,445
0.083,50,446
0.0658,50,447
0.0738,50,448
0.0688,50,449
0.0918,50,450
0.6516,0,451
0.6202,0,452
0.6612,0,453
0.6498,0,454
0.6444,0,455
0.608,1,456
0.5214,1,457
0.5482,1,458
0.5968,1,459
0.5844,1,460
0.4148,4,461
0.4092,4,462
0.3748,4,463
0.449,4,464
0.4654,4,465
0.2396,10,466
0.2306,10,467
0.3002,10,468
0.2346,10,469
0.301,10,470
0.1064,25,471
0.1072,25,472
0.095,25,473
0.1196,25,474
0.1168,25,475
0.0512,50,476
0.0518,50,477
0.051,50,478
0.0586,50,479
0.0588,50,480
0.671,0,481
0.6324,0,482
0.6222,0,483
0.689,0,484
0.6732,0,485
0.6598,1,486
0.5606,1,487
0.6026,1,488
0.5914,1,489
0.5258,1,490
0.436,4,491
0.394,4,492
0.3922,4,493
0.4278,4,494
0.409,4,495
0.2694,10,496
0.2686,10,497
0.259,10,498
0.3202,10,499
0.3132,10,500
0.1332,25,501
0.129,25,502
0.1144,25,503
0.145,25,504
0.2052,25,505
0.0646,50,506
0.0732,50,507
0.0552,50,508
0.0782,50,509
0.062,50,510
0.6202,0,511
0.6536,0,512
0.626,0,513
0.6596,0,514
0.6304,0,515
0.5456,1,516
0.5866,1,517
0.5862,1,518
0.632,1,519
0.5874,1,520
0.4108,4,521
0.4432,4,522
0.3612,4,523
0.4534,4,524
0.3624,4,525
0.2734,10,526
0.252,10,527
0.3136,10,528
0.2738,10,529
0.2592,10,530
0.1188,25,531
0.1548,25,532
0.1134,25,533
0.114,25,534
0.1242,25,535
0.0582,50,536
0.0444,50,537
0.0744,50,538
0.0838,50,539
0.0604,50,540
0.6186,0,541
0.6278,0,542
0.625,0,543
0.6842,0,544
0.646,0,545
0.6034,1,546
0.5692,1,547
0.5584,1,548
0.6602,1,549
0.6088,1,550
0.452,4,551
0.3616,4,552
0.4142,4,553
0.4224,4,554
0.4642,4,555
0.2824,10,556
0.2854,10,557
0.2956,10,558
0.2428,10,559
0.2642,10,560
0.1192,25,561
0.1098,25,562
0.1764,25,563
0.122,25,564
0.142,25,565
0.1188,50,566
0.0526,50,567
0.083,50,568
0.0826,50,569
0.0808,50,570
0.6154,0,571
0.6792,0,572
0.6654,0,573
0.603,0,574
0.658,0,575
0.5904,1,576
0.5776,1,577
0.583,1,578
0.6374,1,579
0.619,1,580
0.449,4,581
0.3914,4,582
0.386,4,583
0.4278,4,584
0.4806,4,585
0.2878,10,586
0.3224,10,587
0.2484,10,588
0.3194,10,589
0.284,10,590
0.1218,25,591
0.1572,25,592
0.1338,25,593
0.111,25,594
0.0788,25,595
0.0844,50,596
0.0558,50,597
0.092,50,598
0.09,50,599
0.077,50,600
0.652,0,601
0.5832,0,602
0.6572,0,603
0.636,0,604
0.6584,0,605
0.524,1,606
0.6108,1,607
0.5916,1,608
0.6378,1,609
0.6128,1,610
0.4594,4,611
0.4806,4,612
0.4976,4,613
0.4484,4,614
0.392,4,615
0.2342,10,616
0.2772,10,617
0.2684,10,618
0.2428,10,619
0.283,10,620
0.147,25,621
0.0984,25,622
0.1228,25,623
0.1386,25,624
0.1202,25,625
0.0672,50,626
0.1072,50,627
0.0546,50,628
0.0424,50,629
0.0444,50,630
0.6538,0,631
0.6694,0,632
0.7056,0,633
0.6448,0,634
0.6058,0,635
0.604,1,636
0.6112,1,637
0.6044,1,638
0.5584,1,639
0.5608,1,640
0.4228,4,641
0.431,4,642
0.4204,4,643
0.4796,4,644
0.4116,4,645
0.2108,10,646
0.254,10,647
0.216,10,648
0.213,10,649
0.2482,10,650
0.1656,25,651
0.1202,25,652
0.1404,25,653
0.1132,25,654
0.1184,25,655
0.064,50,656
0.0734,50,657
0.0498,50,658
0.056,50,659
0.0572,50,660
0.6882,0,661
0.7316,0,662
0.6518,0,663
0.6236,0,664
0.619,0,665
0.5942,1,666
0.613,1,667
0.5604,1,668
0.6144,1,669
0.5562,1,670
0.4208,4,671
0.4252,4,672
0.4102,4,673
0.3964,4,674
0.4448,4,675
0.2258,10,676
0.2568,10,677
0.3004,10,678
0.2916,10,679
0.3096,10,680
0.1002,25,681
0.115,25,682
0.0984,25,683
0.1316,25,684
0.1714,25,685
0.0566,50,686
0.0474,50,687
0.0802,50,688
0.079,50,689
0.0568,50,690
0.6456,0,691
0.6094,0,692
0.649,0,693
0.7164,0,694
0.6774,0,695
0.6676,1,696
0.6136,1,697
0.594,1,698
0.6086,1,699
0.5958,1,700
0.4054,4,701
0.4468,4,702
0.4176,4,703
0.3618,4,704
0.4458,4,705
0.2708,10,706
0.27,10,707
0.2958,10,708
0.2848,10,709
0.2648,10,710
0.1542,25,711
0.1644,25,712
0.1094,25,713
0.1512,25,714
0.1604,25,715
0.0942,50,716
0.0648,50,717
0.052,50,718
0.0718,50,719
0.0672,50,720
0.631,0,721
0.6216,0,722
0.6064,0,723
0.613,0,724
0.6516,0,725
0.5954,1,726
0.5764,1,727
0.658,1,728
0.5724,1,729
0.5962,1,730
0.4502,4,731
0.4102,4,732
0.5058,4,733
0.4008,4,734
0.4518,4,735
0.267,10,736
0.2592,10,737
0.2892,10,738
0.3116,10,739
0.25,10,740
0.1538,25,741
0.1082,25,742
0.1064,25,743
0.0844,25,744
0.1038,25,745
0.0538,50,746
0.0592,50,747
0.0712,50,748
0.077,50,749
0.0554,50,750
0.6674,0,751
0.6328,0,752
0.6742,0,753
0.6934,0,754
0.6372,0,755
0.566,1,756
0.559,1,757
0.5784,1,758
0.6032,1,759
0.581,1,760
0.425,4,761
0.444,4,762
0.4758,4,763
0.5034,4,764
0.4976,4,765
0.2438,10,766
0.246,10,767
0.2514,10,768
0.2864,10,769
0.2708,10,770
0.1318,25,771
0.1454,25,772
0.1268,25,773
0.1386,25,774
0.118,25,775
0.0574,50,776
0.0902,50,777
0.091,50,778
0.102,50,779
0.06,50,780
0.583,0,781
0.6426,0,782
0.7132,0,783
0.6416,0,784
0.6864,0,785
0.5692,1,786
0.5852,1,787
0.5246,1,788
0.6058,1,789
0.6196,1,790
0.4736,4,791
0.4952,4,792
0.446,4,793
0.3894,4,794
0.443,4,795
0.2836,10,796
0.2822,10,797
0.2698,10,798
0.304,10,799
0.2708,10,800
0.1354,25,801
0.1372,25,802
0.1372,25,803
0.1142,25,804
0.0952,25,805
0.0594,50,806
0.0774,50,807
0.0702,50,808
0.0724,50,809
0.0748,50,810
0.6894,0,811
0.62,0,812
0.6428,0,813
0.6272,0,814
0.6162,0,815
0.567,1,816
0.5824,1,817
0.5756,1,818
0.573,1,819
0.5928,1,820
0.45,4,821
0.414,4,822
0.4122,4,823
0.4056,4,824
0.472,4,825
0.2552,10,826
0.2568,10,827
0.2358,10,828
0.2834,10,829
0.259,10,830
0.1294,25,831
0.1186,25,832
0.1874,25,833
0.1504,25,834
0.1152,25,835
0.0472,50,836
0.0638,50,837
0.0594,50,838
0.0536,50,839
0.054,50,840
0.6904,0,841
0.6,0,842
0.6782,0,843
0.656,0,844
0.656,0,845
0.6112,1,846
0.6282,1,847
0.4766,1,848
0.5556,1,849
0.5918,1,850
0.443,4,851
0.3988,4,852
0.4398,4,853
0.4474,4,854
0.4448,4,855
0.2962,10,856
0.2706,10,857
0.2252,10,858
0.3326,10,859
0.2888,10,860
0.106,25,861
0.0722,25,862
0.0996,25,863
0.1566,25,864
0.1182,25,865
0.0792,50,866
0.0638,50,867
0.0872,50,868
0.0562,50,869
0.096,50,870
0.6366,0,871
0.6768,0,872
0.6352,0,873
0.6326,0,874
0.649,0,875
0.5808,1,876
0.5524,1,877
0.5642,1,878
0.5812,1,879
0.5922,1,880
0.4562,4,881
0.4556,4,882
0.5164,4,883
0.4066,4,884
0.4454,4,885
0.209,10,886
0.202,10,887
0.3172,10,888
0.2412,10,889
0.2836,10,890
0.1286,25,891
0.133,25,892
0.1086,25,893
0.132,25,894
0.1078,25,895
0.0804,50,896
0.0764,50,897
0.0646,50,898
0.0388,50,899
0.0744,50,900
