condition,fold,length,id,N_20nt,N_30nt,Time
wt_15mM_salt,0,30,1,0,0,1800.0
wt_15mM_salt,0,30,1,0,0,3600.0
wt_15mM_salt,0,30,1,0,0,5400.0
wt_15mM_salt,0,30,1,0,0,7200.0
wt_15mM_salt,0,30,2,0,0,1800.0
wt_15mM_salt,0,30,2,1,0,3600.0
wt_15mM_salt,0,30,2,1,0,5400.0
wt_15mM_salt,0,30,2,1,0,7200.0
wt_15mM_salt,0,30,3,0,0,1800.0
wt_15mM_salt,0,30,3,0,0,3600.0
wt_15mM_salt,0,30,3,0,0,5400.0
wt_15mM_salt,0,30,3,0,0,7200.0
wt_15mM_salt,0,30,4,0,0,1800.0
wt_15mM_salt,0,30,4,0,0,3600.0
wt_15mM_salt,0,30,4,1,0,5400.0
wt_15mM_salt,0,30,4,1,0,7200.0
wt_15mM_salt,0,30,5,1,0,1800.0
wt_15mM_salt,0,30,5,1,0,3600.0
wt_15mM_salt,0,30,5,1,0,5400.0
wt_15mM_salt,0,30,5,1,0,7200.0
wt_15mM_salt,0,30,6,0,0,1800.0
wt_15mM_salt,0,30,6,0,0,3600.0
wt_15mM_salt,0,30,6,0,0,5400.0
wt_15mM_salt,0,30,6,0,0,7200.0
wt_15mM_salt,0,30,7,0,0,1800.0
wt_15mM_salt,0,30,7,0,0,3600.0
wt_15mM_salt,0,30,7,0,0,5400.0
wt_15mM_salt,0,30,7,0,0,7200.0
wt_15mM_salt,0,30,8,0,0,1800.0
wt_15mM_salt,0,30,8,0,0,3600.0
wt_15mM_salt,0,30,8,0,0,5400.0
wt_15mM_salt,0,30,8,0,0,7200.0
wt_15mM_salt,0,30,9,1,0,1800.0
wt_15mM_salt,0,30,9,1,0,3600.0
wt_15mM_salt,0,30,9,1,0,5400.0
wt_15mM_salt,0,30,9,1,0,7200.0
wt_15mM_salt,0,30,10,0,0,1800.0
wt_15mM_salt,0,30,10,0,0,3600.0
wt_15mM_salt,0,30,10,0,0,5400.0
wt_15mM_salt,0,30,10,0,0,7200.0
wt_15mM_salt,0,30,11,0,0,1800.0
wt_15mM_salt,0,30,11,0,0,3600.0
wt_15mM_salt,0,30,11,0,0,5400.0
wt_15mM_salt,0,30,11,0,0,7200.0
wt_15mM_salt,0,30,12,1,0,1800.0
wt_15mM_salt,0,30,12,1,0,3600.0
wt_15mM_salt,0,30,12,1,0,5400.0
wt_15mM_salt,0,30,12,1,0,7200.0
wt_15mM_salt,0,30,13,0,0,1800.0
wt_15mM_salt,0,30,13,0,0,3600.0
wt_15mM_salt,0,30,13,0,0,5400.0
wt_15mM_salt,0,30,13,0,0,7200.0
wt_15mM_salt,0,30,14,0,0,1800.0
wt_15mM_salt,0,30,14,0,0,3600.0
wt_15mM_salt,0,30,14,1,0,5400.0
wt_15mM_salt,0,30,14,1,0,7200.0
wt_15mM_salt,0,30,15,0,0,1800.0
wt_15mM_salt,0,30,15,0,0,3600.0
wt_15mM_salt,0,30,15,0,0,5400.0
wt_15mM_salt,0,30,15,0,0,7200.0
wt_15mM_salt,0,30,16,0,0,1800.0
wt_15mM_salt,0,30,16,0,0,3600.0
wt_15mM_salt,0,30,16,0,0,5400.0
wt_15mM_salt,0,30,16,0,0,7200.0
wt_15mM_salt,0,30,17,1,0,1800.0
wt_15mM_salt,0,30,17,1,0,3600.0
wt_15mM_salt,0,30,17,1,0,5400.0
wt_15mM_salt,0,30,17,1,0,7200.0
wt_15mM_salt,0,30,18,0,0,1800.0
wt_15mM_salt,0,30,18,0,0,3600.0
wt_15mM_salt,0,30,18,0,0,5400.0
wt_15mM_salt,0,30,18,0,0,7200.0
wt_15mM_salt,0,30,19,1,0,1800.0
wt_15mM_salt,0,30,19,1,0,3600.0
wt_15mM_salt,0,30,19,1,0,5400.0
wt_15mM_salt,0,30,19,1,0,7200.0
wt_15mM_salt,0,30,20,0,0,1800.0
wt_15mM_salt,0,30,20,0,0,3600.0
wt_15mM_salt,0,30,20,0,1,5400.0
wt_15mM_salt,0,30,20,0,1,7200.0
wt_15mM_salt,0,30,21,0,0,1800.0
wt_15mM_salt,0,30,21,0,0,3600.0
wt_15mM_salt,0,30,21,0,0,5400.0
wt_15mM_salt,0,30,21,0,0,7200.0
wt_15mM_salt,0,30,22,0,0,1800.0
wt_15mM_salt,0,30,22,0,0,3600.0
wt_15mM_salt,0,30,22,0,0,5400.0
wt_15mM_salt,0,30,22,0,0,7200.0
wt_15mM_salt,0,30,23,0,0,1800.0
wt_15mM_salt,0,30,23,0,0,3600.0
wt_15mM_salt,0,30,23,0,0,5400.0
wt_15mM_salt,0,30,23,0,0,7200.0
wt_15mM_salt,0,30,24,0,0,1800.0
wt_15mM_salt,0,30,24,0,0,3600.0
wt_15mM_salt,0,30,24,1,0,5400.0
wt_15mM_salt,0,30,24,1,0,7200.0
wt_15mM_salt,0,30,25,1,0,1800.0
wt_15mM_salt,0,30,25,1,0,3600.0
wt_15mM_salt,0,30,25,1,0,5400.0
wt_15mM_salt,0,30,25,1,0,7200.0
wt_15mM_salt,0,30,26,0,0,1800.0
wt_15mM_salt,0,30,26,0,0,3600.0
wt_15mM_salt,0,30,26,0,0,5400.0
wt_15mM_salt,0,30,26,0,0,7200.0
wt_15mM_salt,0,30,27,0,0,1800.0
wt_15mM_salt,0,30,27,0,0,3600.0
wt_15mM_salt,0,30,27,0,0,5400.0
wt_15mM_salt,0,30,27,0,0,7200.0
wt_15mM_salt,0,30,28,0,0,1800.0
wt_15mM_salt,0,30,28,0,0,3600.0
wt_15mM_salt,0,30,28,0,0,5400.0
wt_15mM_salt,0,30,28,0,0,7200.0
wt_15mM_salt,0,30,29,0,0,1800.0
wt_15mM_salt,0,30,29,0,0,3600.0
wt_15mM_salt,0,30,29,0,0,5400.0
wt_15mM_salt,0,30,29,0,0,7200.0
wt_15mM_salt,0,30,30,0,0,1800.0
wt_15mM_salt,0,30,30,0,0,3600.0
wt_15mM_salt,0,30,30,1,0,5400.0
wt_15mM_salt,0,30,30,1,0,7200.0
wt_15mM_salt,0,30,31,0,0,1800.0
wt_15mM_salt,0,30,31,0,0,3600.0
wt_15mM_salt,0,30,31,0,0,5400.0
wt_15mM_salt,0,30,31,0,0,7200.0
wt_15mM_salt,0,30,32,0,0,1800.0
wt_15mM_salt,0,30,32,1,0,3600.0
wt_15mM_salt,0,30,32,1,0,5400.0
wt_15mM_salt,0,30,32,1,0,7200.0
wt_15mM_salt,0,30,33,1,0,1800.0
wt_15mM_salt,0,30,33,1,0,3600.0
wt_15mM_salt,0,30,33,1,0,5400.0
wt_15mM_salt,0,30,33,1,0,7200.0
wt_15mM_salt,0,30,34,0,0,1800.0
wt_15mM_salt,0,30,34,0,0,3600.0
wt_15mM_salt,0,30,34,0,0,5400.0
wt_15mM_salt,0,30,34,0,0,7200.0
wt_15mM_salt,0,30,35,0,0,1800.0
wt_15mM_salt,0,30,35,0,0,3600.0
wt_15mM_salt,0,30,35,1,0,5400.0
wt_15mM_salt,0,30,35,1,0,7200.0
wt_15mM_salt,0,30,36,0,0,1800.0
wt_15mM_salt,0,30,36,0,0,3600.0
wt_15mM_salt,0,30,36,0,0,5400.0
wt_15mM_salt,0,30,36,0,0,7200.0
wt_15mM_salt,0,30,37,0,0,1800.0
wt_15mM_salt,0,30,37,0,0,3600.0
wt_15mM_salt,0,30,37,0,0,5400.0
wt_15mM_salt,0,30,37,1,0,7200.0
wt_15mM_salt,0,30,38,1,0,1800.0
wt_15mM_salt,0,30,38,1,0,3600.0
wt_15mM_salt,0,30,38,1,0,5400.0
wt_15mM_salt,0,30,38,1,0,7200.0
wt_15mM_salt,0,30,39,0,0,1800.0
wt_15mM_salt,0,30,39,0,0,3600.0
wt_15mM_salt,0,30,39,0,0,5400.0
wt_15mM_salt,0,30,39,0,0,7200.0
wt_15mM_salt,0,30,40,0,0,1800.0
wt_15mM_salt,0,30,40,0,0,3600.0
wt_15mM_salt,0,30,40,0,0,5400.0
wt_15mM_salt,0,30,40,1,0,7200.0
wt_15mM_salt,0,30,41,0,0,1800.0
wt_15mM_salt,0,30,41,0,0,3600.0
wt_15mM_salt,0,30,41,0,0,5400.0
wt_15mM_salt,0,30,41,0,0,7200.0
wt_15mM_salt,0,30,42,0,0,1800.0
wt_15mM_salt,0,30,42,0,0,3600.0
wt_15mM_salt,0,30,42,1,0,5400.0
wt_15mM_salt,0,30,42,1,0,7200.0
wt_15mM_salt,0,30,43,0,0,1800.0
wt_15mM_salt,0,30,43,0,0,3600.0
wt_15mM_salt,0,30,43,0,0,5400.0
wt_15mM_salt,0,30,43,1,0,7200.0
wt_15mM_salt,0,30,44,0,0,1800.0
wt_15mM_salt,0,30,44,0,0,3600.0
wt_15mM_salt,0,30,44,0,0,5400.0
wt_15mM_salt,0,30,44,0,0,7200.0
wt_15mM_salt,0,30,45,0,0,1800.0
wt_15mM_salt,0,30,45,0,0,3600.0
wt_15mM_salt,0,30,45,0,0,5400.0
wt_15mM_salt,0,30,45,1,0,7200.0
wt_15mM_salt,0,30,46,0,0,1800.0
wt_15mM_salt,0,30,46,0,0,3600.0
wt_15mM_salt,0,30,46,1,0,5400.0
wt_15mM_salt,0,30,46,1,0,7200.0
wt_15mM_salt,0,30,47,0,0,1800.0
wt_15mM_salt,0,30,47,0,0,3600.0
wt_15mM_salt,0,30,47,1,0,5400.0
wt_15mM_salt,0,30,47,1,0,7200.0
