time,fold,size,id
1801,0,214,1
1801,0,8,1
1801,0,373,1
1801,0,347,1
1801,0,58,1
1801,0,4,1
1801,0,195,1
1801,0,20,1
1801,0,19,1
1801,0,30,1
1801,0,105,1
1801,0,1,1
1801,0,102,1
1801,0,174,1
1801,0,73,1
1801,0,95,1
1801,0,128,1
1801,0,96,1
1801,0,196,1
1801,0,239,1
1801,0,70,1
1801,0,652,1
1801,0,145,1
1801,0,321,1
1801,0,281,1
1801,0,364,1
1861,0,214,1
1861,0,8,1
1861,0,373,1
1861,0,347,1
1861,0,58,1
1861,0,4,1
1861,0,195,1
1861,0,20,1
1861,0,19,1
1861,0,30,1
1861,0,105,1
1861,0,1,1
1861,0,102,1
1861,0,174,1
1861,0,73,1
1861,0,95,1
1861,0,128,1
1861,0,96,1
1861,0,196,1
1861,0,239,1
1861,0,70,1
1861,0,525,1
1861,0,97,1
1861,0,145,1
1861,0,321,1
1861,0,281,1
1861,0,364,1
1921,0,214,1
1921,0,8,1
1921,0,373,1
1921,0,347,1
1921,0,58,1
1921,0,4,1
1921,0,195,1
1921,0,20,1
1921,0,19,1
1921,0,30,1
1921,0,105,1
1921,0,1,1
1921,0,102,1
1921,0,174,1
1921,0,73,1
1921,0,95,1
1921,0,128,1
1921,0,96,1
1921,0,196,1
1921,0,239,1
1921,0,70,1
1921,0,525,1
1921,0,97,1
1921,0,145,1
1921,0,321,1
1921,0,281,1
1921,0,364,1
2401,0,214,1
2401,0,8,1
2401,0,373,1
2401,0,347,1
2401,0,58,1
2401,0,4,1
2401,0,195,1
2401,0,10,1
2401,0,19,1
2401,0,30,1
2401,0,105,1
2401,0,1,1
2401,0,102,1
2401,0,174,1
2401,0,73,1
2401,0,95,1
2401,0,128,1
2401,0,96,1
2401,0,196,1
2401,0,239,1
2401,0,70,1
2401,0,525,1
2401,0,97,1
2401,0,145,1
2401,0,321,1
2401,0,281,1
2401,0,364,1
1801,0,76,2
1801,0,53,2
1801,0,70,2
1801,0,231,2
1801,0,115,2
1801,0,10,2
1801,0,94,2
1801,0,36,2
1801,0,143,2
1801,0,446,2
1801,0,229,2
1801,0,330,2
1801,0,109,2
1801,0,34,2
1801,0,66,2
1801,0,113,2
1801,0,176,2
1801,0,112,2
1801,0,48,2
1801,0,164,2
1801,0,510,2
1801,0,33,2
1801,0,269,2
1801,0,115,2
1801,0,41,2
1801,0,58,2
1801,0,170,2
1801,0,399,2
1861,0,76,2
1861,0,53,2
1861,0,70,2
1861,0,231,2
1861,0,115,2
1861,0,10,2
1861,0,94,2
1861,0,36,2
1861,0,143,2
1861,0,446,2
1861,0,229,2
1861,0,330,2
1861,0,109,2
1861,0,34,2
1861,0,66,2
1861,0,113,2
1861,0,176,2
1861,0,112,2
1861,0,48,2
1861,0,164,2
1861,0,510,2
1861,0,33,2
1861,0,269,2
1861,0,115,2
1861,0,41,2
1861,0,58,2
1861,0,170,2
1861,0,399,2
1921,0,76,2
1921,0,53,2
1921,0,70,2
1921,0,231,2
1921,0,83,2
1921,0,12,2
1921,0,10,2
1921,0,94,2
1921,0,36,2
1921,0,143,2
1921,0,446,2
1921,0,229,2
1921,0,330,2
1921,0,109,2
1921,0,34,2
1921,0,66,2
1921,0,113,2
1921,0,176,2
1921,0,112,2
1921,0,48,2
1921,0,164,2
1921,0,510,2
1921,0,33,2
1921,0,269,2
1921,0,115,2
1921,0,31,2
1921,0,58,2
1921,0,170,2
1921,0,399,2
2401,0,76,2
2401,0,53,2
2401,0,60,2
2401,0,231,2
2401,0,83,2
2401,0,12,2
2401,0,10,2
2401,0,94,2
2401,0,36,2
2401,0,143,2
2401,0,446,2
2401,0,229,2
2401,0,330,2
2401,0,109,2
2401,0,34,2
2401,0,66,2
2401,0,113,2
2401,0,176,2
2401,0,102,2
2401,0,48,2
2401,0,154,2
2401,0,510,2
2401,0,33,2
2401,0,269,2
2401,0,105,2
2401,0,31,2
2401,0,58,2
2401,0,170,2
2401,0,399,2
1801,0,293,3
1801,0,789,3
1801,0,352,3
1801,0,51,3
1801,0,6,3
1801,0,18,3
1801,0,50,3
1801,0,2,3
1801,0,55,3
1801,0,77,3
1801,0,354,3
1801,0,1,3
1801,0,60,3
1801,0,126,3
1801,0,513,3
1801,0,327,3
1801,0,105,3
1801,0,69,3
1801,0,303,3
1801,0,3,3
1801,0,35,3
1801,0,83,3
1801,0,65,3
1801,0,112,3
1801,0,185,3
1801,0,215,3
1801,0,51,3
1861,0,293,3
1861,0,789,3
1861,0,352,3
1861,0,51,3
1861,0,6,3
1861,0,18,3
1861,0,50,3
1861,0,2,3
1861,0,55,3
1861,0,77,3
1861,0,354,3
1861,0,1,3
1861,0,60,3
1861,0,126,3
1861,0,513,3
1861,0,327,3
1861,0,105,3
1861,0,69,3
1861,0,303,3
1861,0,3,3
1861,0,35,3
1861,0,83,3
1861,0,65,3
1861,0,112,3
1861,0,185,3
1861,0,215,3
1861,0,51,3
1921,0,293,3
1921,0,789,3
1921,0,352,3
1921,0,51,3
1921,0,6,3
1921,0,18,3
1921,0,50,3
1921,0,2,3
1921,0,55,3
1921,0,77,3
1921,0,354,3
1921,0,1,3
1921,0,60,3
1921,0,126,3
1921,0,513,3
1921,0,327,3
1921,0,95,3
1921,0,69,3
1921,0,303,3
1921,0,3,3
1921,0,35,3
1921,0,83,3
1921,0,65,3
1921,0,112,3
1921,0,185,3
1921,0,215,3
1921,0,51,3
2401,0,293,3
2401,0,789,3
2401,0,352,3
2401,0,51,3
2401,0,6,3
2401,0,18,3
2401,0,50,3
2401,0,2,3
2401,0,55,3
2401,0,77,3
2401,0,344,3
2401,0,1,3
2401,0,60,3
2401,0,126,3
2401,0,513,3
2401,0,317,3
2401,0,95,3
2401,0,69,3
2401,0,303,3
2401,0,3,3
2401,0,45,3
2401,0,83,3
2401,0,65,3
2401,0,112,3
2401,0,185,3
2401,0,215,3
2401,0,41,3
1801,0,143,4
1801,0,129,4
1801,0,177,4
1801,0,146,4
1801,0,233,4
1801,0,3,4
1801,0,118,4
1801,0,114,4
1801,0,17,4
1801,0,387,4
1801,0,66,4
1801,0,125,4
1801,0,53,4
1801,0,372,4
1801,0,105,4
1801,0,24,4
1801,0,135,4
1801,0,209,4
1801,0,47,4
1801,0,56,4
1801,0,26,4
1801,0,60,4
1801,0,34,4
1801,0,31,4
1801,0,278,4
1801,0,132,4
1801,0,267,4
1801,0,231,4
1801,0,162,4
1801,0,10,4
1801,0,71,4
1801,0,209,4
1861,0,143,4
1861,0,129,4
1861,0,177,4
1861,0,146,4
1861,0,233,4
1861,0,3,4
1861,0,118,4
1861,0,114,4
1861,0,7,4
1861,0,387,4
1861,0,66,4
1861,0,125,4
1861,0,43,4
1861,0,372,4
1861,0,105,4
1861,0,24,4
1861,0,135,4
1861,0,209,4
1861,0,47,4
1861,0,56,4
1861,0,26,4
1861,0,60,4
1861,0,34,4
1861,0,31,4
1861,0,278,4
1861,0,132,4
1861,0,267,4
1861,0,231,4
1861,0,162,4
1861,0,10,4
1861,0,71,4
1861,0,209,4
1921,0,143,4
1921,0,129,4
1921,0,177,4
1921,0,146,4
1921,0,233,4
1921,0,3,4
1921,0,118,4
1921,0,114,4
1921,0,7,4
1921,0,387,4
1921,0,66,4
1921,0,115,4
1921,0,43,4
1921,0,372,4
1921,0,105,4
1921,0,24,4
1921,0,135,4
1921,0,209,4
1921,0,47,4
1921,0,56,4
1921,0,26,4
1921,0,60,4
1921,0,34,4
1921,0,31,4
1921,0,278,4
1921,0,132,4
1921,0,267,4
1921,0,231,4
1921,0,162,4
1921,0,10,4
1921,0,71,4
1921,0,209,4
2401,0,143,4
2401,0,129,4
2401,0,177,4
2401,0,146,4
2401,0,233,4
2401,0,3,4
2401,0,118,4
2401,0,114,4
2401,0,7,4
2401,0,377,4
2401,0,66,4
2401,0,115,4
2401,0,43,4
2401,0,372,4
2401,0,105,4
2401,0,24,4
2401,0,135,4
2401,0,209,4
2401,0,47,4
2401,0,56,4
2401,0,26,4
2401,0,60,4
2401,0,34,4
2401,0,31,4
2401,0,278,4
2401,0,132,4
2401,0,257,4
2401,0,231,4
2401,0,162,4
2401,0,10,4
2401,0,71,4
2401,0,209,4
1801,0,105,5
1801,0,234,5
1801,0,435,5
1801,0,109,5
1801,0,54,5
1801,0,84,5
1801,0,14,5
1801,0,145,5
1801,0,522,5
1801,0,367,5
1801,0,22,5
1801,0,48,5
1801,0,49,5
1801,0,27,5
1801,0,59,5
1801,0,370,5
1801,0,336,5
1801,0,37,5
1801,0,260,5
1801,0,519,5
1801,0,367,5
1801,0,102,5
1801,0,40,5
1801,0,57,5
1801,0,58,5
1861,0,105,5
1861,0,234,5
1861,0,435,5
1861,0,109,5
1861,0,54,5
1861,0,84,5
1861,0,14,5
1861,0,145,5
1861,0,522,5
1861,0,367,5
1861,0,22,5
1861,0,48,5
1861,0,49,5
1861,0,27,5
1861,0,59,5
1861,0,370,5
1861,0,336,5
1861,0,37,5
1861,0,260,5
1861,0,519,5
1861,0,367,5
1861,0,102,5
1861,0,40,5
1861,0,57,5
1861,0,58,5
1921,0,105,5
1921,0,234,5
1921,0,435,5
1921,0,109,5
1921,0,54,5
1921,0,84,5
1921,0,14,5
1921,0,145,5
1921,0,157,5
1921,0,335,5
1921,0,367,5
1921,0,22,5
1921,0,48,5
1921,0,49,5
1921,0,27,5
1921,0,59,5
1921,0,370,5
1921,0,336,5
1921,0,37,5
1921,0,260,5
1921,0,519,5
1921,0,367,5
1921,0,102,5
1921,0,30,5
1921,0,57,5
1921,0,58,5
2401,0,105,5
2401,0,234,5
2401,0,435,5
2401,0,109,5
2401,0,44,5
2401,0,84,5
2401,0,14,5
2401,0,145,5
2401,0,157,5
2401,0,335,5
2401,0,367,5
2401,0,12,5
2401,0,48,5
2401,0,49,5
2401,0,27,5
2401,0,59,5
2401,0,370,5
2401,0,336,5
2401,0,37,5
2401,0,260,5
2401,0,509,5
2401,0,367,5
2401,0,102,5
2401,0,30,5
2401,0,57,5
2401,0,48,5
1801,0,706,6
1801,0,27,6
1801,0,193,6
1801,0,662,6
1801,0,551,6
1801,0,83,6
1801,0,149,6
1801,0,277,6
1801,0,17,6
1801,0,13,6
1801,0,243,6
1801,0,290,6
1801,0,6,6
1801,0,464,6
1801,0,134,6
1801,0,429,6
1801,0,91,6
1801,0,182,6
1801,0,3,6
1861,0,706,6
1861,0,27,6
1861,0,193,6
1861,0,662,6
1861,0,551,6
1861,0,83,6
1861,0,149,6
1861,0,277,6
1861,0,17,6
1861,0,13,6
1861,0,243,6
1861,0,290,6
1861,0,6,6
1861,0,464,6
1861,0,134,6
1861,0,429,6
1861,0,91,6
1861,0,182,6
1861,0,3,6
1921,0,706,6
1921,0,27,6
1921,0,193,6
1921,0,662,6
1921,0,551,6
1921,0,83,6
1921,0,149,6
1921,0,277,6
1921,0,17,6
1921,0,13,6
1921,0,243,6
1921,0,290,6
1921,0,6,6
1921,0,464,6
1921,0,134,6
1921,0,429,6
1921,0,91,6
1921,0,182,6
1921,0,3,6
2401,0,706,6
2401,0,17,6
2401,0,193,6
2401,0,662,6
2401,0,238,6
2401,0,293,6
2401,0,83,6
2401,0,149,6
2401,0,287,6
2401,0,17,6
2401,0,3,6
2401,0,243,6
2401,0,290,6
2401,0,6,6
2401,0,464,6
2401,0,134,6
2401,0,429,6
2401,0,91,6
2401,0,182,6
2401,0,3,6
1801,0,34,7
1801,0,173,7
1801,0,507,7
1801,0,48,7
1801,0,161,7
1801,0,95,7
1801,0,352,7
1801,0,36,7
1801,0,33,7
1801,0,78,7
1801,0,201,7
1801,0,1,7
1801,0,578,7
1801,0,21,7
1801,0,88,7
1801,0,241,7
1801,0,108,7
1801,0,53,7
1801,0,68,7
1801,0,62,7
1801,0,30,7
1801,0,38,7
1801,0,157,7
1801,0,500,7
1801,0,166,7
1801,0,100,7
1801,0,57,7
1801,0,282,7
1801,0,12,7
1861,0,34,7
1861,0,173,7
1861,0,507,7
1861,0,48,7
1861,0,161,7
1861,0,95,7
