para,error
0.5,390.51141357421875
0.6,369.8341064453125
0.7,349.8958740234375
0.8,330.6804504394531
0.9,312.1718444824219
1.0,126.44538879394531
1.2,108.85910034179688
1.4,92.84762573242188
1.5,30.155353546142578
1.6,78.35127258300781
1.8,20.971515655517578
2.0,6.970555305480957
2.1,13.896978378295898
2.4,6.746217727661133
2.5,17.370330810546875
2.7,5.6576995849609375
2.8,8.93778133392334
3.0,4.297108173370361
3.2,13.399505615234375
3.5,35.984153747558594
3.6,19.994361877441406
4.0,28.593460083007812
4.2,76.50570678710938
4.5,64.21693420410156
4.8,96.88823699951172
4.9,121.84613037109375
5.0,81.53172302246094
5.4,119.5356216430664
5.5,212.94540405273438
5.6,148.5609130859375
6.0,144.27259826660156
6.3,177.52801513671875
6.4,199.9951171875
6.5,272.4756774902344
6.6,252.5404815673828
7.0,208.55670166015625
7.2,234.36257934570312
7.5,324.6545715332031
7.7,294.71026611328125
7.8,318.1708984375
8.0,270.74371337890625
8.1,288.3531188964844
8.4,331.83160400390625
8.5,370.21826171875
8.8,339.18292236328125
9.0,329.3179016113281
9.1,366.3500061035156
9.5,410.0874328613281
9.6,379.4363708496094
9.8,398.41064453125
9.9,385.71124267578125
10.0,383.7699890136719
10.2,424.7623596191406
10.4,416.7283935546875
10.5,428.1878356933594
10.8,429.039306640625
11.0,434.0701904296875
11.2,451.2598571777344
11.4,467.92718505859375
11.7,469.0484619140625
11.9,481.61334228515625
12.0,480.4106140136719
12.6,505.60577392578125
12.8,512.918212890625
13.0,523.0767822265625
13.3,527.9945678710938
13.5,540.1474609375
13.6,540.4713134765625
14.0,548.9207763671875
14.4,566.1017456054688
15.0,598.640625
15.2,589.9849853515625
15.3,601.0667724609375
16.0,612.2796630859375
16.2,628.2903442382812
17.0,663.1573486328125
17.1,653.62548828125
18.0,677.2483520507812
19.0,718.6712646484375
20.0,743.5813598632812
