para,error
0.7,572.4331665039062
0.8,516.5283813476562
0.9,465.35638427734375
1.0,418.5328369140625
1.1,375.7085266113281
1.2,336.56597900390625
1.3,300.8160095214844
1.4,223.92332458496094
1.5,238.46188354492188
1.6,176.12704467773438
1.7,186.79798889160156
1.8,136.48829650878906
1.9,144.27627563476562
2.0,103.89558410644531
2.1,76.08618927001953
2.2,77.40225219726562
2.4,47.0079231262207
2.6,39.591957092285156
2.7,26.87136459350586
2.8,19.268184661865234
3.0,14.066685676574707
3.2,8.132547378540039
3.3,7.286865711212158
3.4,8.33841609954834
3.5,6.583878993988037
3.6,5.412734508514404
3.8,8.120935440063477
3.9,7.726475715637207
4.0,9.26091480255127
4.2,13.350244522094727
4.4,18.234060287475586
4.5,21.66751480102539
4.8,31.19806671142578
4.9,36.590606689453125
5.0,38.356536865234375
5.1,44.92338562011719
5.2,47.256629943847656
5.4,54.05510711669922
5.5,59.063690185546875
5.6,62.13302993774414
5.7,74.22483825683594
6.0,80.46980285644531
6.3,90.52770233154297
6.4,95.70246124267578
6.5,108.40328979492188
6.6,109.82478332519531
6.8,130.18556213378906
7.0,119.05348205566406
7.2,129.95278930664062
7.5,163.64804077148438
7.6,177.2874755859375
7.7,147.09918212890625
7.8,173.57666015625
8.0,163.4951629638672
8.1,172.33447265625
8.4,174.15975952148438
8.5,221.2260284423828
8.8,195.63986206054688
9.0,210.0235595703125
9.1,199.98312377929688
9.5,279.01275634765625
9.6,226.07595825195312
9.8,224.4639892578125
9.9,245.4969024658203
10.0,257.234130859375
10.2,306.11383056640625
10.4,254.69961547851562
10.5,247.58242797851562
10.8,278.62738037109375
11.0,295.39080810546875
11.2,269.36712646484375
11.4,370.38531494140625
11.7,309.44873046875
11.9,289.8736572265625
12.0,306.6044006347656
12.1,344.5143737792969
12.6,309.1712646484375
12.8,330.05169677734375
13.0,363.18035888671875
13.2,381.4455261230469
13.3,327.33477783203125
13.5,364.65008544921875
13.6,351.971435546875
14.0,344.44000244140625
14.3,415.27886962890625
14.4,372.47613525390625
15.0,420.86773681640625
15.2,391.6751708984375
15.3,412.2912292480469
15.4,446.3043212890625
15.6,465.4027099609375
16.0,409.67230224609375
16.2,433.66339111328125
16.5,474.80218505859375
16.8,497.17523193359375
16.9,513.3840942382812
17.0,470.1503601074219
17.1,453.59222412109375
17.6,501.03179931640625
18.0,472.2052001953125
18.2,545.678466796875
18.7,525.2275390625
19.0,512.5472412109375
19.2,552.899169921875
19.5,575.11865234375
19.6,591.800048828125
19.8,547.5986938476562
20.0,531.563720703125
20.4,577.4154052734375
20.8,602.0394287109375
20.9,568.3306884765625
21.0,621.4606323242188
21.6,600.0218505859375
22.0,587.5875244140625
22.1,626.73193359375
22.4,648.5120239257812
22.5,665.3446044921875
22.8,620.9219970703125
23.4,649.4481201171875
23.8,673.267333984375
24.0,640.29345703125
24.7,670.4064331054688
25.2,695.995361328125
25.5,717.151123046875
25.6,733.8987426757812
26.0,689.7959594726562
26.6,716.9266357421875
27.0,739.814453125
27.2,758.5316772460938
28.0,736.260009765625
28.5,760.653076171875
28.8,781.071044921875
28.9,797.5645141601562
30.0,779.8733520507812
30.4,801.7662963867188
30.6,819.9338989257812
32.0,820.8301391601562
32.3,840.4469604492188
32.4,856.568359375
34.0,859.3214721679688
34.2,876.869873046875
36.0,895.5303955078125
36.1,911.2003173828125
38.0,929.6287841796875
40.0,961.77685546875
