para,error
0.7,368.9051513671875
0.8,369.78143310546875
0.9,368.408935546875
1.0,349.87615966796875
1.1,304.7012634277344
1.2,264.6898193359375
1.3,229.26617431640625
1.4,194.2601776123047
1.5,170.23092651367188
1.6,137.0822296142578
1.7,124.2631607055664
1.8,92.05461120605469
1.9,83.60150909423828
2.0,58.19313049316406
2.1,38.71040344238281
2.2,34.595924377441406
2.4,16.7260684967041
2.6,12.807787895202637
2.7,8.177528381347656
2.8,6.097095966339111
3.0,6.433221817016602
3.2,4.950697898864746
3.3,5.306661605834961
3.4,5.208593368530273
3.5,6.124673843383789
3.6,4.946315765380859
3.8,6.694635391235352
3.9,7.664389610290527
4.0,5.5536346435546875
4.2,8.07949447631836
4.4,7.102048873901367
4.5,6.914257526397705
4.8,6.9839067459106445
4.9,13.517868041992188
5.0,6.842463493347168
5.1,9.299174308776855
5.2,6.2619829177856445
5.4,8.608553886413574
5.5,8.57249641418457
5.6,6.280686378479004
5.7,6.9750590324401855
6.0,6.6241631507873535
6.3,28.519638061523438
6.4,11.476263046264648
6.5,18.37422752380371
6.6,26.42816925048828
6.8,16.524608612060547
7.0,26.26793670654297
7.2,23.124956130981445
7.5,36.04439926147461
7.6,31.21886444091797
7.7,41.426719665527344
7.8,41.8337516784668
8.0,40.75004577636719
8.1,44.508201599121094
8.4,42.47206115722656
8.5,41.71306610107422
8.8,41.74372863769531
9.0,39.714969635009766
9.1,40.086952209472656
9.5,37.96233367919922
9.6,37.95692443847656
9.8,37.728057861328125
9.9,38.43376541137695
10.0,36.415828704833984
10.2,36.158870697021484
10.4,36.449581146240234
10.5,35.730926513671875
10.8,34.594940185546875
11.0,35.949275970458984
11.2,34.02393341064453
11.4,33.22543716430664
11.7,33.817161560058594
11.9,32.55247116088867
12.0,32.01878356933594
12.1,34.03208923339844
12.6,31.27428436279297
12.8,31.309833526611328
13.0,31.844425201416016
13.2,31.99727439880371
13.3,30.156265258789062
13.5,30.604171752929688
13.6,30.065698623657227
14.0,29.17215919494629
14.3,30.32363510131836
14.4,28.986000061035156
15.0,28.994043350219727
15.2,28.042362213134766
15.3,28.270570755004883
15.4,28.9289608001709
15.6,29.123489379882812
16.0,27.212326049804688
16.2,27.334667205810547
16.5,27.753339767456055
16.8,27.848419189453125
16.9,28.157560348510742
17.0,26.927127838134766
17.1,26.517202377319336
17.6,26.752246856689453
18.0,25.79852294921875
18.2,26.97871971130371
18.7,25.892013549804688
19.0,25.375934600830078
19.2,25.860210418701172
19.5,25.986268997192383
19.6,26.266807556152344
19.8,25.146785736083984
20.0,24.74054718017578
20.4,25.075088500976562
20.8,25.142045974731445
20.9,24.496444702148438
21.0,25.341064453125
21.6,24.395206451416016
22.0,23.925121307373047
22.1,24.41726303100586
22.4,24.553936004638672
22.5,24.805049896240234
22.8,23.80209732055664
23.4,23.78986358642578
23.8,23.87842559814453
24.0,23.281204223632812
24.7,23.24270248413086
25.2,23.293869018554688
25.5,23.430519104003906
25.6,23.653884887695312
26.0,22.762290954589844
26.6,22.784217834472656
27.0,22.881444931030273
27.2,23.053409576416016
28.0,22.33685302734375
28.5,22.40285873413086
28.8,22.53409194946289
28.9,22.732337951660156
30.0,21.98285484313965
30.4,22.08155059814453
30.6,22.23824691772461
32.0,21.684497833251953
32.3,21.80779266357422
32.4,21.9837646484375
34.0,21.430194854736328
34.2,21.572219848632812
36.0,21.211284637451172
36.1,21.367713928222656
38.0,21.021175384521484
40.0,20.854766845703125
