para,error
0.5,2438.2001953125
0.6,2424.350341796875
0.7,2410.541259765625
0.8,2396.773193359375
0.9,2383.04638671875
1.0,1183.376708984375
1.1,2355.715576171875
1.2,1164.5361328125
1.3,2328.548583984375
1.4,1145.859375
1.5,402.90679931640625
1.6,1127.3465576171875
1.7,2274.70654296875
1.8,387.9345397949219
1.9,2248.03173828125
2.0,96.79032897949219
2.1,373.33123779296875
2.2,1072.7923583984375
2.4,94.54568481445312
2.5,91.07868194580078
2.6,1037.2427978515625
2.7,345.2315673828125
2.8,92.95698547363281
3.0,77.84956359863281
3.2,92.02423095703125
3.3,318.60772705078125
3.4,968.1114501953125
3.5,78.80126190185547
3.6,78.31639862060547
3.8,934.5296630859375
3.9,293.45977783203125
4.0,81.71714782714844
4.2,78.63449096679688
4.4,87.8671875
4.5,75.80279541015625
4.8,76.72053527832031
4.9,80.44061279296875
5.0,75.59902954101562
5.1,247.59146118164062
5.2,86.21656036376953
5.4,75.41458892822266
5.5,76.24605560302734
5.6,81.19587707519531
5.7,226.87110900878906
6.0,75.41716003417969
6.3,75.33883666992188
6.4,79.91374206542969
6.5,77.04107666015625
6.6,76.02046966552734
6.8,84.02238464355469
7.0,75.71955871582031
7.2,75.42395782470703
7.5,77.28577423095703
7.6,86.84335327148438
7.7,75.40493774414062
7.8,75.64437866210938
8.0,75.62333679199219
8.1,75.77561950683594
8.4,78.94975280761719
8.5,76.94483184814453
8.8,75.23634338378906
9.0,75.6246337890625
9.1,75.6334228515625
9.5,76.70341491699219
9.6,75.27215576171875
9.8,77.19292449951172
9.9,75.47980499267578
10.0,75.57855224609375
10.2,77.83782958984375
10.4,76.35630798339844
10.5,77.77490234375
10.8,76.08273315429688
11.0,75.48556518554688
11.2,75.41117858886719
11.4,75.54080963134766
11.7,75.99246215820312
11.9,75.93574523925781
12.0,75.72271728515625
12.1,76.818359375
12.6,75.23113250732422
12.8,76.35346221923828
13.0,77.35023498535156
13.2,76.19669342041016
13.3,75.61439514160156
13.5,75.52871704101562
13.6,75.59337615966797
14.0,75.68573760986328
14.3,76.37069702148438
14.4,75.43759155273438
15.0,76.4552001953125
15.2,75.83432006835938
15.3,76.03422546386719
15.4,76.07658386230469
15.6,77.58782958984375
16.0,75.83563232421875
16.2,75.76666259765625
16.5,76.1925048828125
16.8,77.07743072509766
16.9,77.08613586425781
17.0,75.65985107421875
17.1,76.55452728271484
17.6,75.82230377197266
18.0,75.69989776611328
18.2,75.94103240966797
18.7,76.01435852050781
19.0,75.64328002929688
19.2,75.66543579101562
19.5,75.9832534790039
19.6,75.82829284667969
19.8,76.44132995605469
20.0,76.15675354003906
20.4,76.72367858886719
20.8,75.99336242675781
20.9,76.50804901123047
21.0,75.49684143066406
21.6,75.80479431152344
22.0,76.14326477050781
22.1,75.84809875488281
22.4,75.58670043945312
22.5,75.874267578125
22.8,75.69956970214844
23.4,75.71884155273438
23.8,75.69198608398438
24.0,75.56034851074219
24.7,75.52407836914062
25.2,75.96006774902344
25.5,76.13709259033203
25.6,76.16520690917969
26.0,75.85772705078125
26.6,75.94877624511719
27.0,75.8609390258789
27.2,76.18505859375
28.0,75.97054290771484
28.5,76.66242218017578
28.8,76.3976821899414
28.9,76.51545715332031
30.0,76.67646026611328
30.4,76.15355682373047
30.6,76.74723815917969
32.0,76.7088623046875
32.3,77.12751770019531
32.4,78.1025390625
34.0,76.32466125488281
34.2,78.2684555053711
36.0,77.7256851196289
36.1,76.73676300048828
38.0,77.02838134765625
40.0,86.19429016113281
