para,error
0.5,649.2152709960938
0.6,593.7871704101562
0.7,542.06787109375
0.8,493.8490905761719
0.9,448.935302734375
1.0,349.46783447265625
1.1,367.19854736328125
1.2,280.29742431640625
1.3,295.245849609375
1.4,222.40411376953125
1.5,165.07421875
1.6,173.62588500976562
1.7,181.70684814453125
1.8,110.93357849121094
1.9,138.31561279296875
2.0,66.50346374511719
2.1,68.4832534790039
2.2,70.31532287597656
2.4,31.346214294433594
2.5,21.118854522705078
2.6,32.01014709472656
2.7,19.30815887451172
2.8,11.876680374145508
3.0,7.467199325561523
3.2,6.2815117835998535
3.3,6.546725273132324
3.4,7.593203067779541
3.5,5.929091930389404
3.6,4.724114894866943
3.8,6.753635406494141
3.9,6.469533443450928
4.0,4.724862575531006
4.2,7.946534156799316
4.4,8.208054542541504
4.5,9.767232894897461
4.8,11.16536808013916
4.9,14.8104248046875
5.0,10.605531692504883
5.1,10.406451225280762
5.2,9.329742431640625
5.4,9.690465927124023
5.5,8.9163818359375
5.6,8.907794952392578
5.7,9.705475807189941
6.0,8.654809951782227
6.3,10.38467788696289
6.4,10.03518295288086
6.5,9.478874206542969
6.6,9.396936416625977
6.8,11.425451278686523
7.0,10.56625747680664
7.2,10.870450973510742
7.5,13.35765266418457
7.6,15.67061996459961
7.7,12.18117904663086
7.8,13.134645462036133
8.0,13.306441307067871
8.1,14.264266967773438
8.4,14.949865341186523
8.5,20.131935119628906
8.8,16.126689910888672
9.0,16.749242782592773
9.1,18.854576110839844
9.5,27.457387924194336
9.6,19.681659698486328
9.8,21.165790557861328
9.9,20.26800537109375
10.0,20.618453979492188
10.2,24.722990036010742
10.4,22.202960968017578
10.5,22.896394729614258
10.8,23.492923736572266
11.0,24.59283447265625
11.2,24.646305084228516
11.4,26.854917526245117
11.7,26.690898895263672
11.9,26.38092041015625
12.0,27.258708953857422
12.1,30.231220245361328
12.6,28.078540802001953
12.8,29.69635772705078
13.0,32.268043518066406
13.2,34.72865676879883
13.3,29.725934982299805
13.5,32.76832580566406
13.6,32.042240142822266
14.0,31.31548309326172
14.3,38.97150421142578
14.4,34.2865104675293
15.0,39.21440124511719
15.2,36.42549133300781
15.3,38.27333450317383
15.4,42.943824768066406
15.6,46.438636779785156
16.0,38.459354400634766
16.2,40.800662994384766
16.5,46.64818572998047
16.8,50.744667053222656
16.9,54.40360641479492
17.0,45.34819793701172
17.1,43.18335723876953
17.6,50.096473693847656
18.0,45.42840576171875
18.2,58.988983154296875
18.7,53.30487823486328
19.0,50.728824615478516
19.2,58.40943908691406
19.5,63.20258712768555
19.6,67.48892211914062
19.8,56.29115295410156
20.0,53.16619873046875
20.4,61.81669998168945
20.8,67.07829284667969
20.9,59.07307434082031
21.0,71.89379119873047
21.6,64.97331237792969
22.0,61.66773223876953
22.1,70.64876556396484
22.4,75.92825317382812
22.5,80.66886138916016
22.8,67.90225219726562
23.4,73.94430541992188
23.8,79.63172912597656
24.0,70.6246566772461
24.7,76.99240112304688
25.2,83.03964233398438
25.5,88.64358520507812
25.6,92.15997314453125
26.0,79.81768798828125
26.6,86.18339538574219
27.0,92.14141845703125
27.2,95.77596282958984
28.0,89.09066009521484
28.5,95.36099243164062
28.8,99.08071899414062
28.9,101.79014587402344
30.0,98.33262634277344
30.4,102.11123657226562
30.6,105.07418823242188
32.0,104.89915466308594
32.3,108.0811538696289
32.4,110.7940673828125
34.0,110.84373474121094
34.2,113.77194213867188
36.0,116.50460052490234
36.1,119.19114685058594
38.0,121.89048767089844
40.0,127.01268005371094
