k_on,k_off,v_open,v_close,fold,L,T1,T2,N,time,f̄₃₀,Δf₃₀,f̄₂₀,Δf₂₀,α,β,loss,ℓ̂,ext
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,3.9905447060025723,1.0,0.870787432031876
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.8,3.9905447060025723,1.0,0.870787432031876
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,2.0,0.0,0.0,7.920792079207921e-5,0.0005600565742285634,2.0,2.8,3.9905447060025723,1.0001425742574257,0.8709115839033736
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,3.0,0.0,0.0,0.00023762376237623762,0.0011058798745929431,2.0,2.8,3.9905447060025723,1.0004277227722773,0.871159887646369
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,4.0,0.0,0.0,0.00027722772277227726,0.0011672087378116062,2.0,2.8,3.9905447060025723,1.00049900990099,0.8712219635821177
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,5.0,0.0,0.0,0.0003960396039603961,0.0013272468340198979,2.0,2.8,3.9905447060025723,1.0007128712871287,0.8714081913893641
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,6.0,0.0,0.0,0.000514851485148515,0.0014602319088839184,2.0,2.8,3.9905447060025723,1.0009267326732674,0.8715944191966106
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,7.0,0.0,0.0,0.0006336633663366337,0.0016716624795527814,2.0,2.8,3.9905447060025723,1.001140594059406,0.871780647003857
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,8.0,0.0,0.0,0.0007920792079207922,0.0017906246490159152,2.0,2.8,3.9905447060025723,1.0014257425742574,0.8720289507468522
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,9.0,0.0,0.0,0.0009504950495049508,0.0018887892292352927,2.0,2.8,3.9905447060025723,1.0017108910891088,0.8722772544898474
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,10.0,0.0,0.0,0.0009900990099009908,0.0019104714052031785,2.0,2.8,3.9905447060025723,1.0017821782178218,0.8723393304255962
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,11.0,0.0,0.0,0.00106930693069307,0.001950678988160657,2.0,2.8,3.9905447060025723,1.0019247524752475,0.8724634822970938
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,12.0,0.0,0.0,0.0011485148514851493,0.0019868877100322584,2.0,2.8,3.9905447060025723,1.0020673267326732,0.8725876341685914
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,13.0,0.0,0.0,0.0012673267326732682,0.0021858229073230557,2.0,2.8,3.9905447060025723,1.0022811881188118,0.8727738619758378
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,14.0,0.0,0.0,0.0014257425742574264,0.002303677645216299,2.0,2.8,3.9905447060025723,1.0025663366336635,0.8730221657188332
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,15.0,0.0,0.0,0.0015049504950495056,0.0023221703743534295,2.0,2.8,3.9905447060025723,1.0027089108910892,0.8731463175903308
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,16.0,0.0,0.0,0.0015049504950495056,0.0023221703743534295,2.0,2.8,3.9905447060025723,1.0027089108910892,0.8731463175903308
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,17.0,0.0,0.0,0.0015445544554455453,0.00233034226016372,2.0,2.8,3.9905447060025723,1.002780198019802,0.8732083935260795
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,18.0,0.0,0.0,0.0016237623762376246,0.0024118519239311313,2.0,2.8,3.9905447060025723,1.0029227722772278,0.8733325453975772
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,19.0,0.0,0.0,0.0016633663366336642,0.0024177560990421352,2.0,2.8,3.9905447060025723,1.0029940594059406,0.8733946213333259
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,20.0,0.0,0.0,0.0017029702970297038,0.0024229921768567295,2.0,2.8,3.9905447060025723,1.0030653465346535,0.8734566972690748
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,21.0,0.0,0.0,0.001900990099009902,0.0025671188149170242,2.0,2.8,3.9905447060025723,1.0034217821782179,0.8737670769478189
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,22.0,0.0,0.0,0.002019801980198021,0.0025689694354733054,2.0,2.8,3.9905447060025723,1.0036356435643565,0.8739533047550653
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,23.0,0.0,0.0,0.0020990099009901004,0.002567118814917025,2.0,2.8,3.9905447060025723,1.0037782178217822,0.8740774566265629
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,24.0,0.0,0.0,0.0022178217821782194,0.0025597029530632634,2.0,2.8,3.9905447060025723,1.0039920792079209,0.8742636844338093
5.62341325190349e-6,0.001,0.00017782794100389224,3.16227766016838e-6,0.0,5000.0,1800.0,600.0,0.0,25.0,0.0,0.0,0.0023366336633663383,0.002608743865245389,2.0,2.8,3.9905447060025723,1.0042059405940593,0.8744499122410556
