Normalized_intensity_increment,SE
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-9.80E-01,1.15E-02
-9.93E-01,6.66E-03
-8.02E-01,2.03E-02
-8.21E-01,1.91E-02
-7.44E-01,2.04E-02
-7.55E-01,1.97E-02
-7.82E-01,2.48E-02
-9.42E-01,2.37E-02
-9.80E-01,1.16E-02
-9.79E-01,1.20E-02
-7.43E-01,1.29E-02
-7.65E-01,1.08E-02
-7.44E-01,1.04E-02
-7.56E-01,9.27E-03
-7.67E-01,7.66E-03
-7.83E-01,6.69E-03
-7.75E-01,8.33E-03
-7.82E-01,8.37E-03
-7.71E-01,7.92E-03
-7.67E-01,8.06E-03
-7.61E-01,1.13E-02
-7.59E-01,1.04E-02
-7.61E-01,7.62E-03
-7.49E-01,9.16E-03
-7.48E-01,7.54E-03
-7.46E-01,7.74E-03
-7.54E-01,5.82E-03
-7.55E-01,8.68E-03
-7.48E-01,8.39E-03
-7.40E-01,7.93E-03
-7.43E-01,8.78E-03
-7.42E-01,7.33E-03
-7.31E-01,7.85E-03
-7.36E-01,5.35E-03
-7.37E-01,7.60E-03
-7.42E-01,6.30E-03
-7.31E-01,7.13E-03
-7.18E-01,6.92E-03
-7.24E-01,6.09E-03
-7.22E-01,5.96E-03
-7.14E-01,7.94E-03
-7.05E-01,6.65E-03
-7.06E-01,7.33E-03
-6.95E-01,7.59E-03
-7.08E-01,6.53E-03
-6.97E-01,5.74E-03
-6.91E-01,6.16E-03
-6.85E-01,5.13E-03
-6.88E-01,6.84E-03
-6.99E-01,7.29E-03
-6.72E-01,7.01E-03
-6.84E-01,7.10E-03
-6.63E-01,8.02E-03
-6.76E-01,6.55E-03
-6.70E-01,6.87E-03
-6.74E-01,6.32E-03
-6.65E-01,8.39E-03
-6.68E-01,6.41E-03
-6.66E-01,6.82E-03
-6.45E-01,7.25E-03
-6.55E-01,6.51E-03
-6.57E-01,6.56E-03
-6.56E-01,5.71E-03
-6.33E-01,6.52E-03
-6.41E-01,6.86E-03
-6.43E-01,6.35E-03
-6.27E-01,6.58E-03
-6.32E-01,6.76E-03
-6.31E-01,6.84E-03
-6.27E-01,7.41E-03
-6.29E-01,7.41E-03
-6.22E-01,7.27E-03
-6.22E-01,7.31E-03
-6.19E-01,8.19E-03
-6.18E-01,7.64E-03
-6.16E-01,7.26E-03
-5.91E-01,8.29E-03
-6.00E-01,7.88E-03
-5.94E-01,7.12E-03
-6.07E-01,7.03E-03
-5.95E-01,8.15E-03
-5.94E-01,7.25E-03
-5.83E-01,8.47E-03
-5.97E-01,7.54E-03
-5.91E-01,6.69E-03
-5.80E-01,7.83E-03
-5.88E-01,6.65E-03
-5.88E-01,6.63E-03
-5.75E-01,6.79E-03
-5.73E-01,6.81E-03
-5.74E-01,7.95E-03
-5.65E-01,8.11E-03
-5.71E-01,7.63E-03
-5.67E-01,6.87E-03
-5.67E-01,7.84E-03
-5.62E-01,6.71E-03
-5.60E-01,6.69E-03
-5.50E-01,7.12E-03
-5.56E-01,7.68E-03
-5.50E-01,7.91E-03
-5.40E-01,8.26E-03
-5.35E-01,7.65E-03
-5.46E-01,7.78E-03
-5.52E-01,7.65E-03
-5.40E-01,7.88E-03
-5.35E-01,7.04E-03
-5.10E-01,7.18E-03
-5.20E-01,7.15E-03
-5.23E-01,6.93E-03
-5.41E-01,8.58E-03
-5.06E-01,8.15E-03
-5.11E-01,7.85E-03
-5.10E-01,8.63E-03
-5.06E-01,7.94E-03
-5.28E-01,7.96E-03
-5.11E-01,9.17E-03
-4.98E-01,9.57E-03
-5.10E-01,9.59E-03
-4.92E-01,7.13E-03
-4.87E-01,8.16E-03
-4.81E-01,8.30E-03
-4.72E-01,8.50E-03
-4.90E-01,8.92E-03
-4.74E-01,8.98E-03
-4.74E-01,8.81E-03
-4.62E-01,8.52E-03
-4.65E-01,8.39E-03
-4.62E-01,9.57E-03
-4.64E-01,9.50E-03
-4.63E-01,8.90E-03
-4.54E-01,8.76E-03
-4.55E-01,8.15E-03
-4.48E-01,9.64E-03
-4.50E-01,8.61E-03
-4.70E-01,8.94E-03
-4.56E-01,8.64E-03
-4.47E-01,8.75E-03
-4.46E-01,1.03E-02
-4.38E-01,9.54E-03
-4.43E-01,8.71E-03
-4.43E-01,9.36E-03
-4.22E-01,8.82E-03
-4.27E-01,9.71E-03
-4.30E-01,7.88E-03
-4.18E-01,9.26E-03
-4.33E-01,7.68E-03
-3.96E-01,8.84E-03
-4.11E-01,9.20E-03
-4.13E-01,7.52E-03
-4.08E-01,8.75E-03
-4.19E-01,8.72E-03
-3.84E-01,1.03E-02
-4.04E-01,8.87E-03
-4.01E-01,9.27E-03
-3.77E-01,1.06E-02
-4.16E-01,9.46E-03
-4.05E-01,8.15E-03
-3.87E-01,7.80E-03
-3.90E-01,9.62E-03
-3.95E-01,7.76E-03
-3.84E-01,8.54E-03
-3.94E-01,7.95E-03
-3.82E-01,7.33E-03
-3.72E-01,7.67E-03
-3.72E-01,6.59E-03
-3.79E-01,6.83E-03
-3.72E-01,7.31E-03
-3.53E-01,7.96E-03
-3.74E-01,7.61E-03
-3.44E-01,8.22E-03
-3.64E-01,8.00E-03
-3.38E-01,6.97E-03
-3.58E-01,8.85E-03
-3.33E-01,7.20E-03
-3.53E-01,7.13E-03
-3.36E-01,7.46E-03
