Normalized_intensity_increment,SE
-9.97E-01,2.24E-03
-9.97E-01,2.29E-03
-9.98E-01,1.71E-03
-9.98E-01,1.74E-03
-9.98E-01,1.68E-03
-9.98E-01,1.71E-03
-9.98E-01,1.75E-03
-9.97E-01,2.26E-03
-9.97E-01,2.25E-03
-9.97E-01,2.38E-03
-9.97E-01,2.22E-03
-9.97E-01,2.39E-03
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-1.00E+00,0.00E+00
-9.53E-01,1.08E-02
-9.50E-01,9.82E-03
-9.55E-01,8.93E-03
-9.48E-01,9.90E-03
-8.61E-01,1.49E-02
-9.32E-01,1.07E-02
-9.55E-01,9.17E-03
-9.55E-01,8.49E-03
-8.45E-01,1.00E-02
-8.15E-01,9.75E-03
-8.22E-01,1.05E-02
-8.10E-01,9.97E-03
-8.20E-01,8.30E-03
-8.13E-01,1.02E-02
-8.22E-01,9.37E-03
-8.60E-01,7.01E-03
-8.37E-01,9.14E-03
-8.71E-01,6.87E-03
-8.71E-01,7.08E-03
-8.67E-01,7.07E-03
-8.72E-01,6.23E-03
-8.58E-01,8.66E-03
-8.78E-01,6.37E-03
-8.75E-01,7.26E-03
-8.70E-01,6.76E-03
-8.68E-01,7.40E-03
-8.73E-01,7.24E-03
-8.21E-01,9.38E-03
-8.12E-01,1.10E-02
-8.33E-01,9.87E-03
-8.36E-01,8.42E-03
-8.28E-01,8.04E-03
-8.06E-01,1.00E-02
-7.95E-01,7.45E-03
-8.00E-01,9.39E-03
-7.87E-01,9.34E-03
-7.84E-01,9.40E-03
-7.87E-01,9.65E-03
-7.85E-01,1.02E-02
-7.98E-01,6.10E-03
-7.89E-01,6.01E-03
-7.90E-01,7.01E-03
-8.03E-01,6.93E-03
-7.85E-01,8.91E-03
-7.98E-01,7.64E-03
-7.98E-01,7.85E-03
-8.02E-01,8.55E-03
-7.88E-01,9.72E-03
-7.94E-01,7.87E-03
-7.96E-01,7.07E-03
-7.89E-01,7.62E-03
-7.86E-01,7.72E-03
-8.01E-01,7.60E-03
-8.52E-01,7.18E-03
-7.81E-01,9.26E-03
-8.19E-01,6.90E-03
-8.13E-01,7.13E-03
-7.45E-01,9.87E-03
-7.48E-01,9.82E-03
-7.62E-01,9.85E-03
-7.58E-01,9.79E-03
-7.51E-01,8.64E-03
-7.40E-01,9.34E-03
-7.59E-01,8.99E-03
-8.14E-01,8.16E-03
-7.32E-01,7.16E-03
-7.26E-01,7.15E-03
-7.19E-01,8.22E-03
-7.22E-01,7.17E-03
-7.17E-01,6.38E-03
-7.21E-01,7.07E-03
-7.11E-01,7.32E-03
-7.21E-01,7.57E-03
-7.20E-01,7.18E-03
-7.05E-01,7.16E-03
-6.98E-01,5.52E-03
-6.91E-01,6.69E-03
-6.84E-01,6.10E-03
-6.89E-01,6.05E-03
-6.79E-01,7.54E-03
-6.90E-01,7.81E-03
-6.82E-01,7.31E-03
-6.82E-01,6.89E-03
-6.72E-01,6.47E-03
-6.65E-01,6.04E-03
-6.68E-01,6.19E-03
-6.55E-01,5.85E-03
