relative_intensity,exp_label,fold,time
0.0030000000000000027,wt_15mM_salt,0.0,5.0
0.0030000000000000027,wt_15mM_salt,0.0,10.0
0.0030000000000000027,wt_15mM_salt,0.0,15.0
0.0030000000000000027,wt_15mM_salt,0.0,20.0
0.0030000000000000027,wt_15mM_salt,0.0,25.0
0.0030000000000000027,wt_15mM_salt,0.0,30.0
0.0030000000000000027,wt_15mM_salt,0.0,35.0
0.0030000000000000027,wt_15mM_salt,0.0,40.0
0.0030000000000000027,wt_15mM_salt,0.0,45.0
0.0030000000000000027,wt_15mM_salt,0.0,50.0
0.0030000000000000027,wt_15mM_salt,0.0,55.0
0.0030000000000000027,wt_15mM_salt,0.0,60.0
0.0030000000000000027,wt_15mM_salt,0.0,65.0
0.0010000000000000009,wt_15mM_salt,0.0,70.0
0.0,wt_15mM_salt,0.0,75.0
0.0,wt_15mM_salt,0.0,80.0
0.0,wt_15mM_salt,0.0,85.0
0.0,wt_15mM_salt,0.0,90.0
0.0,wt_15mM_salt,0.0,95.0
0.0,wt_15mM_salt,0.0,100.0
0.0,wt_15mM_salt,0.0,105.0
0.0,wt_15mM_salt,0.0,110.0
0.0,wt_15mM_salt,0.0,115.0
0.0,wt_15mM_salt,0.0,120.0
0.0,wt_15mM_salt,0.0,125.0
0.0,wt_15mM_salt,0.0,130.0
0.0,wt_15mM_salt,0.0,135.0
0.0,wt_15mM_salt,0.0,140.0
0.0,wt_15mM_salt,0.0,145.0
0.0,wt_15mM_salt,0.0,150.0
0.0,wt_15mM_salt,0.0,155.0
0.0,wt_15mM_salt,0.0,160.0
0.0,wt_15mM_salt,0.0,165.0
0.0,wt_15mM_salt,0.0,170.0
0.0,wt_15mM_salt,0.0,175.0
0.0,wt_15mM_salt,0.0,180.0
0.009000000000000008,wt_15mM_salt,0.0,185.0
0.08699999999999997,wt_15mM_salt,0.0,190.0
0.11199999999999999,wt_15mM_salt,0.0,195.0
0.14,wt_15mM_salt,0.0,200.0
0.15100000000000002,wt_15mM_salt,0.0,205.0
0.15700000000000003,wt_15mM_salt,0.0,210.0
0.14700000000000002,wt_15mM_salt,0.0,215.0
0.14800000000000002,wt_15mM_salt,0.0,220.0
0.14900000000000002,wt_15mM_salt,0.0,225.0
0.15500000000000003,wt_15mM_salt,0.0,230.0
0.15800000000000003,wt_15mM_salt,0.0,235.0
0.16500000000000004,wt_15mM_salt,0.0,240.0
0.16000000000000003,wt_15mM_salt,0.0,245.0
0.18200000000000005,wt_15mM_salt,0.0,250.0
0.19799999999999995,wt_15mM_salt,0.0,255.0
0.17800000000000005,wt_15mM_salt,0.0,260.0
0.18200000000000005,wt_15mM_salt,0.0,265.0
0.19999999999999996,wt_15mM_salt,0.0,270.0
0.17500000000000004,wt_15mM_salt,0.0,275.0
0.15200000000000002,wt_15mM_salt,0.0,280.0
0.22899999999999998,wt_15mM_salt,0.0,285.0
0.248,wt_15mM_salt,0.0,290.0
0.254,wt_15mM_salt,0.0,295.0
0.256,wt_15mM_salt,0.0,300.0
0.235,wt_15mM_salt,0.0,305.0
0.262,wt_15mM_salt,0.0,310.0
0.265,wt_15mM_salt,0.0,315.0
0.251,wt_15mM_salt,0.0,320.0
0.265,wt_15mM_salt,0.0,325.0
0.261,wt_15mM_salt,0.0,330.0
0.257,wt_15mM_salt,0.0,335.0
0.258,wt_15mM_salt,0.0,340.0
0.272,wt_15mM_salt,0.0,345.0
0.262,wt_15mM_salt,0.0,350.0
0.264,wt_15mM_salt,0.0,355.0
0.265,wt_15mM_salt,0.0,360.0
0.259,wt_15mM_salt,0.0,365.0
0.28,wt_15mM_salt,0.0,370.0
0.27,wt_15mM_salt,0.0,375.0
0.256,wt_15mM_salt,0.0,380.0
0.28300000000000003,wt_15mM_salt,0.0,385.0
0.274,wt_15mM_salt,0.0,390.0
0.28700000000000003,wt_15mM_salt,0.0,395.0
0.33699999999999997,wt_15mM_salt,0.0,400.0
0.32999999999999996,wt_15mM_salt,0.0,405.0
0.351,wt_15mM_salt,0.0,410.0
0.34199999999999997,wt_15mM_salt,0.0,415.0
0.347,wt_15mM_salt,0.0,420.0
0.359,wt_15mM_salt,0.0,425.0
0.367,wt_15mM_salt,0.0,430.0
0.365,wt_15mM_salt,0.0,435.0
0.362,wt_15mM_salt,0.0,440.0
0.375,wt_15mM_salt,0.0,445.0
0.371,wt_15mM_salt,0.0,450.0
0.366,wt_15mM_salt,0.0,455.0
0.369,wt_15mM_salt,0.0,460.0
0.386,wt_15mM_salt,0.0,465.0
0.379,wt_15mM_salt,0.0,470.0
0.371,wt_15mM_salt,0.0,475.0
0.385,wt_15mM_salt,0.0,480.0
0.385,wt_15mM_salt,0.0,485.0
0.395,wt_15mM_salt,0.0,490.0
0.40700000000000003,wt_15mM_salt,0.0,495.0
0.396,wt_15mM_salt,0.0,500.0
0.398,wt_15mM_salt,0.0,505.0
